integratedMoas,Target,GeneTargets,N
PDGFR tyrosine kinase receptor inhibitor,Dovitinib|Amuvatinib|Motesanib|Imatinib|Pazopanib|SU-4312|sunitinib|Dasatinib|CHEMBL2136735|Ponatinib|Linifanib|TSU-68|sorafenib|Tandutinib|252916-29-3|Masitinib,EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|MET|RET|ABL1|BCR|CSF1R|ITK|LCK|BLK|EPHA2|FGR|FRK|FYN|HCK|LYN|SRC|SRMS|YES1|FGFR4|TEK|AURKA|AURKB|BRAF|DDR2|RAF1,123
VEGFR inhibitor,Dovitinib|Motesanib|Norlichexanthone|Tivozanib|PD-173074|Pazopanib|SU-4312|sunitinib|CHEMBL2136735|Linifanib|TSU-68|Vegf receptor 2 kinase inhibitor iv|ZM323881|sorafenib|MAZ51|252916-29-3,EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET|AURKB|PIM1|CSF1R|ITK|LCK|AURKA|FGFR4|BRAF|DDR2|RAF1,92
KIT inhibitor,Amuvatinib|Motesanib|Imatinib|Pazopanib|sunitinib|Dasatinib|sorafenib|Tandutinib|Masitinib,FLT3|KIT|MET|PDGFRA|FLT1|FLT4|KDR|PDGFRB|RET|ABL1|BCR|CSF1R|FGFR1|FGFR3|ITK|LCK|BLK|EPHA2|FGR|FRK|FYN|HCK|LYN|SRC|SRMS|YES1|BRAF|DDR2|RAF1,71
FLT3 inhibitor,Dovitinib|Amuvatinib|Fedratinib|sunitinib|Quizartinib|Ponatinib|BMS-777607|sorafenib|Tandutinib,EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|MET|JAK2|RET|CSF1R|ABL1|BCR|FGFR4|TEK|AXL|MERTK|MST1R|TYRO3|BRAF|DDR2|RAF1,61
Benzodiazepine receptor agonist,Diazepam|Midazolam|Zolpidem|Zaleplon|Lorazepam,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,56
Dopamine receptor antagonist,"10-{3-[4-(2-Chloroethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-phenothiazine|Quetiapine|Amoxapine|L741,626|Pimozide|Nemonapride|Phenothiazine|Fluspirilene|Benperidol|Triflupromazine|NNC-112|Molindone|Domperidone|Thiothixene|Loxapine|Clopenthixol|SCH-23390",DRD1|DRD2|HRH1|HTR1A|HTR1D|HTR1E|HTR2A|HTR2C|DRD3|DRD4|DRD5|HTR6|SLC6A2|SLC6A4|NA|HTR2B,55
CDK inhibitor,Isoolomoucine|PHA-793887|AZD-5438|Staurosporine Aglycon|N9-Isopropylolomoucine|Quinoxaline1|GF-109203|Palbociclib|Pentosalen,NA|CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|CCND1|GSK3A|PRKCA,53
Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a,Thioridazine|Trifluoperazine|Pimozide|Chlorpromazine|Trimipramine|Promazine,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C|DRD5|ADRA2A|ADRA2B|ADRA2C|HRH1|HTR1A|HTR6|HTR7|ADRA1A|ADRA1B|ADRA1D|SLC6A2|SLC6A3|SLC6A4|CHRM5,46
PI3K inhibitor,Idelalisib|CHEMBL1242477|SAR245409|AS-605240|Wortmannin|TORIN1|AZD-6482|SCHEMBL570779|GSK 1059615|PI-103|YM 201636|TGX 221|Pictilisib|IC-87114,PIK3CD|PIK3CG|PIK3CA|PIK3CB|NA|PLK1|MTOR|PIK3R1|PIK3R2|PIK3R3|PIK3R5,45
Tyrosine-protein kinase receptor RET inhibitor,Vandetanib|Sunitinib|Alectinib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|CSF1R|FLT3|KIT|PDGFRA|PDGFRB|ALK,45
