integratedMoas,Target,GeneTargets,N
Serotonin receptor antagonist,"Quetiapine|Tropanyl-3,5-dimethylbenzoate|RS-23597-190|Ritanserin|Sertraline|Pirenperone|METERGOLINE|Altanserin|RS-102,221|3-Tropanyl-3,5-dichlorobenzoate|SB-216641|Ondansetron|Loxapine|BMY-7378|Mirtazapine|Zacopride",DRD1|DRD2|HRH1|HTR1A|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR3B|HTR4|HTR2B|SLC6A4|HTR1B|DRD3|DRD4|HTR6|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,44
Vascular endothelial growth factor receptor inhibitor,Vandetanib|Sunitinib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|CSF1R|FLT3|KIT|PDGFRA|PDGFRB,43
FGFR inhibitor,Dovitinib|PD-173074|CHEMBL2136735|Infigratinib|TSU-68|252916-29-3,EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|FGFR4|AURKA|AURKB,40
Sodium channel blocker,Ambroxol|STK009254|9-Epiquinine|Aminobenztropine|Amiloride|Moricizine|QX-222|Procainamide|181144-66-1,CYP3A4|INS|SCN5A|CA1|CA12|CA7|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN9A|ASIC1|ASIC2|SCNN1A|SCNN1B|SCNN1G|SCN10A|SCN7A|SCN8A|NA,40
Sodium channel alpha subunit blocker,Carbamazepine|Dronedarone HCl|Propafenone,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|CACNA1C|CACNA1D|CACNA1F|CACNA1S|HCN4|KCNJ2|ADRB1|ADRB2|KCNH2,39
Adrenergic receptor antagonist,Acebutolol|Triacsin C|Practolol|Yohimbine|ICI-89406|Metoprolol|Morphothebaine|ARC239|Sotalol|BMY-7378|Nicergoline|Carvedilol|Mirtazapine|SR59230A,ADRB1|ACSL1|ADRA2A|ADRA2B|ADRA2C|HTR1A|HTR1B|HTR1D|HTR2B|ADRB2|NA|KCNH2|ADRA1A|ADRA1B|ADRA1D|ADRB3|HTR2A|HTR2C|HTR3A,37
Bcr-Abl kinase inhibitor,Imatinib|Dasatinib|Bosutinib|Ponatinib,ABL1|BCR|CSF1R|KIT|PDGFRA|PDGFRB|BLK|EPHA2|FGR|FRK|FYN|HCK|LCK|LYN|SRC|SRMS|YES1|CAMK2G|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|RET|TEK,37
EGFR inhibitor,Dovitinib|Lapatinib|WHI-P97|Lavendustin A|Tyrphostin AG-1478|Gefitinib|Canertinib|PP 3|Neratinib|IN1345|WZ 4002|SCHEMBL17857056|WZ 3146|CGP-53353,EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|ERBB2|JAK3|NA|ERBB4,33
Adrenergic receptor agonist,"Xylazine|1-(2,6-Dichlorobenzylideneamino)guanidine|Isoxsuprine|Mephentermine|L-755,507|L-Norepinephrine|Levosalbutamol|Ergoatetrine|Guanfacine|Talibegron|Clenbuterol|Clonidine|SPECTRUM_001020",NA|ADRB2|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB3|HTR2A,32
HDAC inhibitor,"PCI-34051|3,6-Dimethyl-9-[6-(oxiran-2-yl)-6-oxohexyl]decahydropyrrolo[1,2-a][1,4,7,10]tetraazacyclododecine-1,4,7,10-tetrone|Belinostat|Trichostatin A, Streptomyces Sp.|Broad-Sai-560|Trichostatin|CAY10603",HDAC1|HDAC10|HDAC6|HDAC8|NA|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC7|HDAC9,32
Src inhibitor,WH-4-023|Dasatinib|Bosutinib|Aminogenistein|SRC Kinase Inhibitor II|Saracatinib|Masitinib,ABL1|SRC|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRMS|YES1|CAMK2G|NA|FGFR3|PDGFRA,32
Norepinephrine transporter inhibitor,Amoxapine|Trimipramine|Amitriptyline|Nortriptyline,DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A|HTR6|SLC6A2|SLC6A4|ADRA1A|ADRA1B|ADRA1D|HRH1|HTR2C|SLC6A3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|KCNJ10,31
D2-like dopamine receptor antagonist,Thioridazine|Trifluoperazine|Chlorpromazine|Promazine,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C|ADRA2A|ADRA2B|ADRA2C|DRD5|HRH1|HTR1A|HTR6|HTR7|CHRM5,30
Epidermal growth factor receptor inhibitor,Vandetanib|Osimertinib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,29
Tyrosine kinase inhibitor,Genistein|JNJ-38877605|SU-4312|SU 11274|Tivantinib|Dasatinib|BMS-777607|IN1345,CFTR|ESR2|MET|KDR|ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1|AXL|MERTK|MST1R|TYRO3|EGFR,27
Calcium channel blocker,CID 78435479|VU0413807-2|SKF96365|Lidoflazine|BSPBIO_001473|L-Cis-Diltiazem|Amlodipine|Verapamil|Nitrendipine,CACNA1C|CACNA1D|CACNA1F|CACNA1S|NR3C2|CACNA1G|CACNA1H|CACNA1I|CYP3A4|TRPC1|NA|RYR1|CACNA2D1,26
Ephrin receptor inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Serotonin transporter inhibitor,Amoxapine|Clomipramine|VILAZODONE HYDROCHLORIDE|Amitriptyline|Nortriptyline,DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A|HTR6|SLC6A2|SLC6A4|HTR1A|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|KCNJ10,25
Tyrosine-protein kinase BRK inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Tyrosine-protein kinase SRC inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Tyrosine-protein kinase TIE-2 inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Voltage-gated L-type calcium channel blocker,Diltiazem|Nifedipine|Dronedarone HCl,CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|HCN4|KCNJ2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,25
Acetylcholine receptor antagonist,Methixene|Scopolamine hydrochloride|Ipratropium|1135243-19-4|Tubocurarine|Procyclidine,CHRM1|CHRM5|HTR2C|CHRM2|CHRM3|CHRM4|CHRNA1|CHRNA2|CHRNB1|CHRND|CHRNE|CHRNG|HTR3A,24
RET tyrosine kinase inhibitor,Amuvatinib|sunitinib|sorafenib,FLT3|KIT|MET|PDGFRA|FLT1|FLT4|KDR|PDGFRB|RET|BRAF|DDR2|FGFR1|RAF1,23
Tyrosine-protein kinase receptor FLT3 inhibitor,Sunitinib|KW-2449,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET|ABL1|AURKA|AURKB,22
Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c,Thioridazine|Trifluoperazine|Trimipramine,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|HRH1|SLC6A2|SLC6A3|SLC6A4,21
Cyclooxygenase inhibitor,"Curcumin|Naproxen|Nimesulide|Rofecoxib|LM-1685|Dexketoprofen|Nabumetone|SCHEMBL10583556|100599-27-7|Valdecoxib|N-(4-Hydroxyphenyl)icosa-5,8,11,14-tetraenamide|Carprofen|Celecoxib",PTGS1|PTGS2|LTF|NA|TRPV1,19
RAF inhibitor,MLS006011051|PLX-4720|SB590885|Dabrafenib|HG6-64-1|GW-5074|sorafenib|Vemurafenib,BRAF|NA|RAF1|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET,19
Macrophage colony stimulating factor  receptor  inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Platelet-derived growth factor receptor inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Serotonin receptor agonist,AC1NQ6YI|RU-24969|Dexfenfluramine|BP-554|CP94253|MK-212|CGS-12066A|PNU-22394|Ergoatetrine|CHEMBL212197|Quipazine|5-Nonyloxytryptamine,HTR2A|HTR2B|HTR2C|HTR1A|HTR1B|HTR6|SLC6A4|NA,18
Stem cell growth factor receptor inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Ephrin inhibitor,Dasatinib|SCHEMBL15556278|CHEMBL552425,ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1|DDR1,17
Phosphodiesterase inhibitor,BRL50481|Sildenafil|Ibudilast|Milrinone|Rolipram|Irsogladine|Denbufylline,NA|PDE5A|MIF|PDE10A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|TLR4,17
Cytochrome P450 inhibitor,"Resveratrol|6-(7-Hydroxy-6,7-dihydro-5H-pyrrolo[1,2-c]imidazol-7-yl)-n-methyl-2-naphthamide|Resmethrin|apigenin|IN1128|Metyrapone|Itrazole|Voriconazole Impurity D",PTGS1|PTGS2|SIRT1|CYP17A1|NA|CYP11B1|CYP2C19|CYP2C9|CYP3A4|CYP3A5,16
Inward rectifier potassium channel 2 blocker,Dronedarone HCl,CACNA1C|CACNA1D|CACNA1F|CACNA1S|HCN4|KCNJ2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,16
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,Dronedarone HCl,CACNA1C|CACNA1D|CACNA1F|CACNA1S|HCN4|KCNJ2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,16
Histamine receptor agonist,Amthamine|Amodiaquine|Immepip|Betahistine|Lidocaine,NA|HNMT|HRH3|HRH1|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,15
CDK expression enhancer,"Trichostatin A, Streptomyces Sp.|Trichostatin",HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8,14
ID1 expression inhibitor,"Trichostatin A, Streptomyces Sp.|Trichostatin",HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8,14
PARP inhibitor,"Olaparib|NU1025|Veliparib|Rucaparib|ABT-888,VELIPARIB|Iniparib|3-Aminobenzamide|PJ34",PARP1|PARP2|PARP3|NA,14
T-type calcium channel blocker,Mibefradil|Aminobenztropine,CACNA1C|CACNA1G|CACNA1H|CACNA1I|CA1|CA12|CA7|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN9A,14
Beta-1 adrenergic receptor antagonist,Propafenone,ADRB1|ADRB2|KCNH2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,13
Beta-2 adrenergic receptor antagonist,Propafenone,ADRB1|ADRB2|KCNH2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,13
Dopamine D2 receptor antagonist,Trimipramine|Fluphenazine|Prochlorperazine,ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4|DRD1,13
Histamine H1 receptor antagonist,Cyproheptadine|Trimipramine|Astemizole,HRH1|ADRA1A|ADRA1B|ADRA1D|DRD2|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4|KCNH2,13
NFkB pathway inhibitor,"Curcumin|(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one|Parthenolide|CID-2858522|Gibberellin A3|Caffeic Acid Phenethyl Ester|Quinacrine|Auranofin|JSH-23|Prostoglandin A1",PTGS1|PTGS2|NA|TP53|RELA,13
Dopamine receptor agonist,RO10-5824|Quinelorane|METERGOLINE|MFCD00671792|Dopamine,DRD4|DRD2|DRD3|HTR1A|HTR2A|DRD1|ADRB1|DRD5,12
Histamine receptor antagonist,Famotidine|Desloratadine|Tesmilifene|Tripelennamine|Pyrilamine|Levocabastine|Diphenhydramine|Trimethobenzamide|Betahistine|Cimetidine,HRH2|HRH1|NA|NTSR2|DRD2|HRH3,12
Aurora kinase inhibitor,Norlichexanthone|MLN-8054|AZD-1152-HQPA|Danusertib,AURKB|PIM1|AURKA|AURKC|FGFR1|NTRK1|RET,11
Glutamate inhibitor,Dcpib|Riluzole,SLC1A2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,11
HIV protease inhibitor,C37H48N6O5S2|Lopinavir,CYP1A2|CYP2B6|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP2E1|CYP3A4|CYP3A5|CYP3A7|NA,11
Local anesthetic,Amylocaine|Benoxinate,NA|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,11
MEK inhibitor,MEK1/2 Inhibitor|Selumetinib|PD-0325901|PD-98059|CHEMBL3182395|Arctigenin,MAP2K1|MAP2K2|MAP2K5|MAPK7|CHUK,11
MTOR inhibitor,TORIN1|PI-103|SCHEMBL17052537,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|BTK|JAK3|MKNK2|PRKDC,11
Adrenergic receptor alpha-1 antagonist,Trimipramine,ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,10
Opioid receptor antagonist,Naloxone|AC1L1IDJ|AC1L1I54|SCHEMBL722708,OPRD1|OPRK1|OPRM1,10
Retinoic acid receptor agonist,Tretinoin|Tazarotene|Isotretinoin,RARA|RARB|RARG|RORB,10
MAP kinase inhibitor,CHEMBL1673039|PD-0325901|PD-98059|XMD 8-92|CGP 57380|FR-180204,LRRK2|MAPK7|MAP2K1|MAP2K2|MKNK1|MAPK1|MAPK3,9
P38 MAPK inhibitor,SB239063|Doramapimod|SB-202190|SB 239063|TAK-715,MAPK11|MAPK14|MAPK12,9
PLK inhibitor,GSK-461364|HMN-214,PLK1|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET,9
AKT inhibitor,Triciribine|10-DEBC|AKT Inhibitor VIII|A-443654,AKT1|AKT2|AKT3|PIM1,8
C-Met inhibitor,PF-04217903|PHA-665752|BMS-777607,MET|AXL|MERTK|MST1R|TYRO3,8
Estrogen receptor agonist,(Z)-Guggulsterone|BSPBIO_002472|Daidzein|Guggulsterone,NR1H4|NA|AR|NR3C1|NR3C2|PGR,8
FXR antagonist,Lithocholic acid|(Z)-Guggulsterone|Guggulsterone,NR1I2|VDR|NR1H4|AR|NR3C1|NR3C2|PGR,8
Glucocorticoid receptor agonist,"Fluocinonide|SPECTRUM_000898|SPECTRUM_000826|Fluocinolone Acetonide|Dexamethasone 21-acetate|Piretanide|(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate",NR3C1|SLC12A1|SLC12A2,8
Leukotriene receptor antagonist,Ibudilast,MIF|PDE10A|PDE3A|PDE4A|PDE4B|PDE4C|PDE4D|TLR4,8
PI3-kinase class I inhibitor,Taselisib,PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5,8
Protein synthesis inhibitor,Rifabutin|Brefeldin A|BDBM37535|Isocycloheximide|Cycloheximide|BIO2_000516,NA|RPL3,8
Ubiquitin specific protease inhibitor,"3,5-Bis(4-methylbenzylidene)piperidin-4-one",SENP2|USP1|USP2|USP7,8
BCL inhibitor,ABT737|BH3I 1|Navitoclax,BCL2|BCL2L1|BCL2L2,7
Carbonic anhydrase inhibitor,Methazolamide|Metolazone|Chlorthalidone,CA1|CA2|CA4|CA7|SLC12A3,7
Cholesterol inhibitor,Dihomo-Gamma-Linolenic acid|Ezetimibe|Guggulsterone,PTGS1|NPC1L1|AR|NR1H4|NR3C1|NR3C2|PGR,7
DYRK inhibitor,CHEMBL567331|CHEMBL1591577,CLK1|CLK4|DYRK1A|DYRK1B,7
Epidermal growth factor receptor erbB1 inhibitor,AC480 (BMS-599626)|Osimertinib,EGFR|ERBB2|ERBB4|ERBB3,7
Glutamate receptor antagonist,Latrepirdine|Dnqx|Fenobam|NS-3694|N-(3-Acetamidophenyl)-3-chlorobenzamide|CHEMBL254777|CHEMBL372631,HTR6|NA|GRM5|CASP9|GRM1|GRIK1,7
Growth factor receptor inhibitor,SCHEMBL16196749|Danusertib,NTRK1|AURKA|AURKB|AURKC|FGFR1|RET,7
Hepatocyte growth factor receptor inhibitor,SGX-523|SU 11274|BMS-777607,MET|AXL|MERTK|MST1R|TYRO3,7
JAK inhibitor,WHI-P97|Fedratinib|AZD 1480|Cucurbitacin-I,JAK3|FLT3|JAK2|JAK1|STAT3,7
Lipoxygenase inhibitor,Curcumin|SPBIO_000926|Zileuton|1-[4-[3-(4-Fluorophenoxy)phenyl]but-3-en-2-yl]-1-hydroxyurea|Cdc|CHEMBL1270312,PTGS1|PTGS2|NA|ALOX5|ALOX12,7
Progesterone receptor agonist,Nomegestrol Acetate|(Z)-Guggulsterone|Guggulsterone,PGR|NR1H4|AR|NR3C1|NR3C2,7
Protein kinase inhibitor,PD-0325901|R-59022|SCHEMBL3958507|MLN-8054|SCHEMBL3954849,MAP2K1|MAP2K2|DGKA|COQ8B|EGFR|AURKA|NA,7
SIRT activator,Resveratrol|SRT-1720|IN1128,PTGS1|PTGS2|SIRT1,7
ATPase inhibitor,Blebbistatin|BRD-A26787626-001-02-9|Pantoprazole|Evodiamine|Oligomycin A,MYH2|ATP2A1|ATP4A|ATP4B|TRPV1|ATP5A1,6
Abl kinase inhibitor,Bosutinib,ABL1|BCR|CAMK2G|HCK|LYN|SRC,6
BTK inhibitor,"PCI-32765|THR1 Inhibitor, 2|QL-XII-47|QL47",BTK|BMX,6
CHK inhibitor,PF477736|SB-218078|Arundine,CHEK1|AR|HIF1A|IFNG|PI3,6
Estrogen receptor antagonist,"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol|Clomifene|Phtpp|Zuclomiphene|Toremifene",ESR1|ESR2,6
IGF-1 inhibitor,GSK-1904529A|CHEMBL3186197|NVP-AEW541|ZINC28755859,IGF1R|INSR,6
IKK inhibitor,TPCA-1|Guggulsterone,IKBKB|AR|NR1H4|NR3C1|NR3C2|PGR,6
Opioid receptor agonist,"92953-43-0|ICI-199,441|Fentanyl Isothiocyanate|SCHEMBL722708",OPRK1|OPRD1|OPRM1,6
PKC inhibitor,GSK-3 Inhibitor II|Hbdde|Enzastaurin|GF-109203|CGP-53353,GSK3B|PRKCA|PRKCG|PRKCB|EGFR,6
Rho associated kinase inhibitor,"GSK429286A|Y-39983|Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-|3-(4-Pyridyl)indole",ROCK1|ROCK2,6
Ribonucleotide reductase inhibitor,Gemcitabine,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,6
Sterol demethylase inhibitor,Ketoconazole,AR|CYP19A1,6
TRPV antagonist,"Naringenin|N-(4-Hydroxyphenyl)icosa-5,8,11,14-tetraenamide|SB-366791",CYP19A1|ESR2|TRPV1,6
ALK tyrosine kinase receptor inhibitor,Crizotinib|TAE-684|Alectinib,ALK|MET|RET,5
ATM kinase inhibitor,CGK733|KU-55933|CP466722|C30H33N3O5S,ATM|ATR,5
AXL kinase inhibitor,BMS-777607,AXL|MERTK|MET|MST1R|TYRO3,5
Aromatase inhibitor,Naringenin|Fadrozole,CYP19A1|ESR2,5
Calcineurin inhibitor,Cyclosporine|SMP2_000081,PPIA|PPP3CA|FKBP1A,5
GABA receptor antagonist,Pentylenetetrazol|PRESTWICK3_000652,NA|GABRA1|GABRR1|GLRA2|GLRA3,5
HMGCR inhibitor,atorvastatin|XUKUURHRXDUEBC-UHFFFAOYSA-N|AC1MSUFC,DPP4|HMGCR,5
Histone deacetylase 1 inhibitor,Vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5
Histone deacetylase 2 inhibitor,Vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5
Histone deacetylase 3 inhibitor,Vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5
Histone deacetylase 6 inhibitor,Vorinostat,HDAC1|HDAC2|HDAC3|HDAC6|HDAC8,5
Macrophage inhibitor,BMS-777607,AXL|MERTK|MET|MST1R|TYRO3,5
Metalloproteinase inhibitor,UK 356618|MLS000062185|IN1246,MMP3|NA|MMP13|MMP2,5
Microtubule inhibitor,D-64131|Patupilone|Cytochalasin B|AC1L1KV5,TUBB|ACTB,5
Monoamine oxidase inhibitor,Tranylcypromine|525-72-4|Procarbazine,KDM1A|MAOA|MAOB|NA,5
Peroxisome proliferator-activated receptor gamma agonist,Troglitazone|Rosiglitazone|BRD-K00544996|Pioglitazone,PPARG|PPARA,5
Pregnane X receptor agonist,Guggulsterone,AR|NR1H4|NR3C1|NR3C2|PGR,5
RAD51 inhibitor,Amuvatinib|MLS000709026,FLT3|KIT|MET|PDGFRA|RAD51,5
