gene_name,LFC_pngf,PVal_pngf,LFC_wt,PVal_wt
0610007P08Rik,0.447933182083332,0.00769279127259637,0.593901878416666,0.010511234581191
0610010K14Rik,0.350398046666673,0.0126010444136109,0.468405822500001,0.0080774117453905
0610010O12Rik,0.514161805833332,0.0106000810513262,0.369384776666669,0.01647816005194
0610012G03Rik,-0.289241306916663,0.0470581840946313,NA,NA
0610039H22Rik,-0.734273802916668,0.0354151051266711,NA,NA
0610040J01Rik,-0.401412537166665,0.00580728935037504,NA,NA
0610042G04Rik,2.08509202733333,9.8942608359578e-4,NA,NA
1110001J03Rik,0.321414507500005,0.0277429861913741,NA,NA
1110002E22Rik,-0.836427010499999,0.0223562050650983,NA,NA
1110002J07Rik,0.974026386916666,0.004365508998993,0.602607878083336,0.00316524703788508
1110004F10Rik,-0.285247217500002,0.0466847147711779,NA,NA
1110005A03Rik,0.33921889,0.02349731822643,NA,NA
1110007C09Rik,-0.690817465833332,0.0015612597931181,NA,NA
1110008L16Rik,0.521020741333335,0.0136963787115659,0.846902054250002,7.2437670246264e-4
1110012L19Rik,0.306293450833337,0.0339634978436606,NA,NA
1110017D15Rik,-0.591044510833331,0.00229441308628124,NA,NA
1110018G07Rik,0.270151422500001,0.0482362684254976,0.279566201666665,0.0343915685048543
1110020A21Rik,-0.449344156000001,0.0218835849004419,NA,NA
1110020G09Rik,0.444660480000001,0.00296521113219034,NA,NA
1110021J02Rik,-0.354729549166667,0.00680212578614343,NA,NA
1110034B05Rik,0.297924559166667,0.0325559928719271,NA,NA
1110034G24Rik,-0.320589532499998,0.0260133670960154,NA,NA
1110038B12Rik,0.527853336666668,0.00243993248437149,0.321109340833335,0.0183298945117692
1110054M08Rik,-0.443478067416663,0.00642476038397146,NA,NA
1190002N15Rik,0.47290331866667,0.0168913209313715,NA,NA
1190005I06Rik,-0.401622115833328,0.0145592862114045,NA,NA
1190007F08Rik,-0.779755269916667,0.00202631735743656,NA,NA
1300002E11Rik,-0.867389904166666,5.446040901897e-4,NA,NA
1300010F03Rik,0.526373981750002,0.00402281323943833,NA,NA
1300014I06Rik,0.597091454750003,0.00675780417143033,NA,NA
1500002O20Rik,-0.514370443333332,0.00817171910743127,NA,NA
1500004F05Rik,0.371078160249999,0.0382789340459341,NA,NA
1500009C09Rik,0.240047741666672,0.0387675906501765,NA,NA
1500009L16Rik,0.343980842083338,0.00930677764585726,NA,NA
1500012F01Rik,-0.2964435325,0.0227397858080603,NA,NA
1500012K07Rik,0.985088512750002,0.0150590958227461,0.95934431625,0.0143312021934472
1500015A07Rik,-0.618338317083335,0.00184519782401156,NA,NA
1500016L03Rik,0.83019523316667,0.00818839969428255,0.817312472333334,0.00773598798162788
1500031L02Rik,0.387041587500006,0.028826439940074,NA,NA
