Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
Cordycepin,LINCSCP_159068,PC3,0.04uM,24h,NA,0.42571504,0.29768089,-0.32046203,-0.23458454
"Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-",LINCSCP_171978,YAPC,10uM,24h,NA,0.39147439,NA,NA,NA
Xanthohumol,LINCSCP_32746,MCF7,10uM,6h,NA,0.37607536,NA,-0.28753988,NA
Bavisant (dihydrochloride hydrate),LINCSCP_174894,YAPC,3.33uM,24h,2,0.36849374,NA,NA,NA
CHIR-265,LINCSCP_165138,SKL.C,10uM,24h,2,0.36415051,NA,NA,NA
BRD-K82899766,LINCSCP_312556,VCAP,1uM,24h,NA,0.36257083,0.29276831,-0.28421102,-0.32607619
"4,6-Dimethyl-n-phenylquinolin-2-amine",LINCSCP_33975,MCF7,10uM,6h,NA,0.36142314,NA,-0.24060087,NA
Abiraterone Acetate,LINCSCP_118329,HT29,10uM,24h,NA,0.35806534,NA,NA,NA
Purmorphamine,LINCSCP_33534,MCF7,10uM,6h,NA,0.35623996,NA,-0.24480054,NA
Azacitidine,LINCSCP_164689,SKL.C,3.33uM,24h,NA,0.3483399,NA,NA,NA
Azacitidine,LINCSCP_164689,SKL.C,3.33uM,24h,4,0.3483399,NA,NA,NA
Ivacaftor (VX-770),LINCSCP_171816,YAPC,10uM,24h,4,0.34551812,NA,NA,NA
Pictilisib,LINCSCP_155046,PC3,0.37uM,24h,2,0.34053871,0.26574477,NA,NA
Deguelin,LINCSCP_14473,HA1E,10uM,24h,NA,0.33944355,NA,NA,NA
T5832551,LINCSCP_57645,VCAP,10uM,6h,NA,0.3392983,NA,NA,NA
MAYBRIDGE4_002231,LINCSCP_33995,MCF7,10uM,6h,NA,0.33542434,NA,NA,NA
Levomethorphan,LINCSCP_14702,HA1E,10uM,24h,NA,0.33535069,NA,NA,NA
CCG-214295,LINCSCP_11495,ASC,10uM,24h,NA,0.33483807,NA,NA,NA
Pyridostigmine,LINCSCP_91985,HA1E,3.33uM,24h,4,0.33293355,NA,-0.22692261,NA
STOCK1N-09285,LINCSCP_33676,MCF7,10uM,6h,NA,0.33209997,NA,NA,NA
Estradiol,LINCSCP_28601,HT29,0.12uM,24h,4,0.33105038,NA,-0.25598856,NA
MK-2866 (GTx-024),LINCSCP_101436,HELA,3.33uM,24h,3,0.33087819,-0.24866633,NA,0.27067796
Piplartine,LINCSCP_11427,ASC,10uM,24h,NA,0.33034597,NA,NA,NA
ZK-93426,LINCSCP_33529,MCF7,10uM,6h,NA,0.32989605,NA,NA,NA
OTSSP167,LINCSCP_117179,HT29,0.12uM,24h,NA,0.32789892,NA,NA,NA
Famciclovir,LINCSCP_172805,YAPC,0.12uM,24h,4,0.32759056,NA,NA,NA
CHEMBL1434137,LINCSCP_234173,JHUEM2,40uM,6h,NA,0.32622316,NA,NA,NA
Hydroxycholesterol,LINCSCP_32417,MCF7,10uM,24h,NA,0.32589492,NA,NA,NA
BRD-K41087962,LINCSCP_25071,HT115,0.5uM,6h,NA,0.3240551,0.27614618,-0.34767759,-0.24941146
Dabrafenib,LINCSCP_165051,SKL.C,0.37uM,24h,4,0.32258705,NA,NA,NA
Pelitinib,LINCSCP_114921,HS578T,1.11uM,24h,2,0.32196073,NA,NA,NA
AZD-1775,LINCSCP_88628,HA1E,3.33uM,24h,2,0.3207387,NA,NA,NA
BRD-K65148580,LINCSCP_8289,A549,5uM,24h,NA,0.32039519,NA,NA,NA
RS504393,LINCSCP_204210,ASC,10uM,24h,NA,0.32006697,0.23759993,NA,NA
BRD-K19914944,LINCSCP_28940,HUH7,10uM,6h,NA,0.31970844,NA,NA,NA
Quizartinib,LINCSCP_24416,HS578T,10uM,24h,3,0.31919278,NA,NA,NA
CDK9 Inhibitor,LINCSCP_69879,A375,0.37uM,24h,NA,0.31913926,NA,NA,NA
GSK 1059615,LINCSCP_128203,HUES3,0.37uM,24h,NA,0.31884142,NA,NA,NA
GSK 1059615,LINCSCP_128203,HUES3,0.37uM,24h,NA,0.31884142,NA,NA,NA
Tazarotene,LINCSCP_174755,YAPC,10uM,24h,4,0.31815141,NA,NA,NA
Diphenylpyraline,LINCSCP_73084,A375,0.37uM,24h,4,0.31762538,NA,-0.28718917,NA
CHIR-99021,LINCSCP_86499,BT20,0.37uM,3h,NA,0.31692609,NA,-0.28397196,-0.25070391
VX-745,LINCSCP_152330,PC3,3.33uM,24h,2,0.31675596,NA,-0.31687566,NA
AMG-9810,LINCSCP_240921,MCF7,10uM,6h,NA,0.31539025,NA,-0.23910791,NA
Menadione,LINCSCP_12861,DV90,10uM,6h,4,0.31458209,NA,NA,NA
2-Chloroadenosine,LINCSCP_16209,HA1E,10uM,6h,NA,0.31274454,NA,NA,NA
Butein,LINCSCP_11534,ASC,10uM,24h,NA,0.31231955,NA,NA,NA
AT-7519,LINCSCP_164052,SKBR3,0.12uM,3h,2,0.3121866,NA,-0.34281384,NA
Alprostadil,LINCSCP_155357,PC3,1.11uM,24h,NA,0.31165798,NA,-0.29005357,NA
Alprostadil,LINCSCP_155357,PC3,1.11uM,24h,4,0.31165798,NA,-0.29005357,NA
GW842166X,LINCSCP_120815,HT29,10uM,24h,2,0.31155629,NA,NA,NA
BRD-K83726357,LINCSCP_63246,VCAP,5uM,24h,NA,0.30993353,NA,NA,NA
BRD-K18144986,LINCSCP_62769,VCAP,5uM,24h,NA,0.30953519,NA,-0.20405377,NA
UK 356618,LINCSCP_25558,HT29,10uM,24h,NA,0.30927219,NA,NA,NA
GSK-2334470,LINCSCP_134209,MCF7,0.12uM,24h,NA,0.30897617,NA,-0.34661774,NA
SCHEMBL15422533,LINCSCP_10681,ASC,10uM,24h,NA,0.30841603,NA,NA,NA
BRD-A41986761,LINCSCP_71703,A375,0.12uM,24h,NA,0.30817604,NA,NA,NA
ARTESUNATE,LINCSCP_71641,A375,10uM,24h,NA,0.30699442,NA,-0.23989048,NA
Vorinostat,LINCSCP_35717,MCF7,0.01uM,24h,4,0.30575127,NA,NA,NA
12K-613S,LINCSCP_292111,VCAP,10uM,6h,NA,0.30544338,NA,NA,NA
Tivozanib,LINCSCP_12835,DV90,10uM,6h,3,0.30543609,NA,NA,NA
852475-26-4,LINCSCP_164772,SKL.C,10uM,24h,NA,0.30445753,NA,NA,NA
79966-13-5,LINCSCP_21403,HEC108,10uM,6h,NA,0.30426586,NA,-0.24426754,NA
Flunisolide,LINCSCP_31491,MCF7,10uM,6h,4,0.30358575,NA,NA,NA
BRD-K42573370-001-01-1,LINCSCP_17463,HA1E,3.33uM,24h,NA,0.3025709,NA,NA,NA
