Target,TargetSignature,TargetCellLine,TargetConcentration,TargetTime,FDA_Phase,PNGF_1M,WT_1M,PNGF_3M,WT_3M
Ticlopidine,LINCSCP_170330,YAPC,1.11uM,24h,4,0.3023701,NA,NA,-0.20236284
BRD-K92801790,LINCSCP_309955,VCAP,30uM,6h,NA,0.30214438,NA,NA,NA
BRD-A01645196,LINCSCP_83622,ASC.C,10uM,24h,NA,0.30152291,NA,NA,NA
Levomepromazine,LINCSCP_50103,PHH,10uM,24h,4,0.30137481,NA,NA,NA
MLS-0258268.0001,LINCSCP_15836,HA1E,10uM,6h,NA,0.3008959,NA,NA,NA
BRD-K71614913,LINCSCP_279146,PC3,10uM,6h,NA,0.30061982,NA,-0.31142365,NA
GSK J4,LINCSCP_100547,HCC515,0.37uM,24h,NA,0.30035912,NA,NA,NA
F1304-0056,LINCSCP_28695,HUH7,3uM,24h,NA,0.29900689,NA,NA,NA
galantamine,LINCSCP_100888,HCC515,0.12uM,24h,NA,0.29878545,NA,-0.22245355,NA
AC1O9CU3,LINCSCP_65338,VCAP,10uM,24h,NA,0.29835944,0.23204126,-0.29349748,NA
BRD-K16934333,LINCSCP_43101,NPC,10uM,24h,NA,0.29820591,0.201977,NA,NA
Pimobendan,LINCSCP_124817,HT29,10uM,24h,NA,0.29807752,NA,NA,NA
Phensuximide,LINCSCP_89962,HA1E,3.33uM,24h,4,0.29780749,0.23157937,-0.22626661,NA
ZM336372,LINCSCP_56935,VCAP,100uM,24h,NA,0.29726699,NA,NA,NA
BG-STK33-59,LINCSCP_42054,NOMO1,10uM,6h,NA,0.29632694,NA,NA,NA
MLS-0390851.0001,LINCSCP_15794,HA1E,10uM,24h,NA,0.29626216,NA,NA,NA
"24(S),25-epoxycholesterol",LINCSCP_32718,MCF7,10uM,6h,NA,0.29491489,NA,NA,NA
BRD-A08662020,LINCSCP_171840,YAPC,10uM,24h,NA,0.29459829,NA,NA,NA
CHEMBL1593913,LINCSCP_16163,HA1E,10uM,6h,NA,0.29406309,NA,NA,NA
Endrin,LINCSCP_17080,HA1E,10uM,24h,NA,0.29330154,NA,NA,NA
SA-245650,LINCSCP_253194,MCF7,10uM,24h,NA,0.29317496,NA,NA,NA
BRD-K71498541,LINCSCP_263264,NPC,10uM,24h,NA,0.29315537,NA,NA,NA
BRD-K48036219,LINCSCP_7974,A549,10uM,6h,NA,0.29272546,NA,-0.25017379,NA
pyrvinium-pamoate,LINCSCP_55059,THP1,10uM,6h,NA,0.29222773,NA,NA,NA
AZD-1152HQPA,LINCSCP_4093,A375,10uM,24h,NA,0.29175451,NA,NA,NA
Linsitinib,LINCSCP_163453,SKBR3,1.11uM,3h,NA,0.29123918,NA,-0.314635,-0.20542031
LDN 193189,LINCSCP_29866,MCF10A,10uM,24h,NA,0.29087585,NA,NA,NA
Dexamethasone Acetate,LINCSCP_99107,HA1E,0.12uM,24h,NA,0.29075975,NA,NA,NA
Phenytoin,LINCSCP_106192,HELA,1.11uM,24h,4,0.28978142,NA,-0.2612386,NA
Indigo Red,LINCSCP_211134,HA1E,10uM,6h,NA,0.28948497,NA,NA,NA
Cimetidine,LINCSCP_104332,HELA,0.04uM,24h,4,0.28901741,NA,NA,NA
Broad-Sai-424,LINCSCP_49244,PC3,3uM,24h,NA,0.288425,NA,NA,NA
SDZ NKT 343,LINCSCP_107470,HELA,3.33uM,24h,NA,0.28841302,0.22497775,NA,NA
Desmopressin,LINCSCP_159437,PC3,0.37uM,24h,NA,0.28835054,NA,-0.25511505,NA
CHEMBL3188581,LINCSCP_28222,HT29,10uM,24h,NA,0.28829258,NA,NA,NA
4L7B,LINCSCP_38585,MCF7,3.33uM,24h,NA,0.28773713,NA,-0.23789018,NA
Benzo[Def]Chrysene,LINCSCP_13870,HA1E,10uM,6h,NA,0.28758636,NA,NA,NA
STK249718,LINCSCP_11080,ASC,10uM,24h,NA,0.28753,NA,NA,NA
Rescinnamine,LINCSCP_52757,SKB,10uM,24h,4,0.28723732,NA,-0.28068524,NA
Vemurafenib,LINCSCP_55501,U937,10uM,6h,NA,0.28639082,NA,NA,0.26051205
Vemurafenib,LINCSCP_55501,U937,10uM,6h,4,0.28639082,NA,NA,0.26051205
3-Chloro-l-alanine,LINCSCP_36358,MCF7,0.5uM,6h,NA,0.28610021,NA,NA,NA
Etravirine (TMC125),LINCSCP_98097,HA1E,10uM,24h,4,0.28559683,NA,NA,NA
Hydroxyprogesterone Caproate,LINCSCP_71307,A375,10uM,24h,NA,0.28533298,NA,NA,NA
Pilaralisib,LINCSCP_58967,VCAP,10uM,24h,NA,0.28510452,NA,NA,NA
Piceatannol,LINCSCP_15812,HA1E,10uM,24h,NA,0.28502387,NA,NA,NA
Lanatoside-C,LINCSCP_47636,PC3,10uM,24h,NA,0.28501974,NA,NA,NA
Cinaciguat,LINCSCP_175282,YAPC,1.11uM,24h,NA,0.28477676,NA,NA,NA
MLN-0128,LINCSCP_128228,HUES3,0.04uM,24h,2,0.2846406,NA,NA,NA
Chloroguanide,LINCSCP_89469,HA1E,0.04uM,24h,4,0.28415354,NA,-0.23289323,NA
meloxicam,LINCSCP_75019,A375,3.36uM,24h,NA,0.28372277,NA,-0.2343939,NA
IMD-0354,LINCSCP_51000,RMGI,10uM,6h,NA,0.28345502,NA,NA,NA
SCHEMBL15422014,LINCSCP_10676,ASC,10uM,24h,NA,0.28329748,NA,NA,NA
Labetalol,LINCSCP_74869,A375,0.37uM,24h,4,0.2832428,-0.23059533,-0.20717521,NA
Palovarotene,LINCSCP_173669,YAPC,10uM,24h,2,0.28319203,NA,NA,NA
Miconazole,LINCSCP_108414,HELA,3.33uM,24h,4,0.28309688,NA,NA,NA
12K-516S,LINCSCP_32049,MCF7,10uM,6h,NA,0.28302638,NA,NA,NA
Avrainvillamide Analog 5,LINCSCP_17291,HA1E,3.33uM,24h,NA,0.28294221,NA,NA,NA
MG-132,LINCSCP_75948,A375,20uM,24h,NA,0.28268955,NA,NA,NA
SCHEMBL16980377,LINCSCP_10041,A549,3.33uM,24h,NA,0.28236573,0.220591,NA,NA
PHA-793887,LINCSCP_116604,HT29,0.37uM,24h,1,0.28216272,NA,NA,NA
Fenofibrate,LINCSCP_56005,VCAP,10uM,24h,4,0.28187582,NA,NA,NA
SCHEMBL2560486,LINCSCP_5472,A549,10uM,6h,NA,0.28177321,NA,NA,NA
5-Nitroso-8-cinnolinol,LINCSCP_11525,ASC,10uM,24h,NA,0.28164913,NA,NA,NA
Ziprasidone,LINCSCP_71271,A375,10uM,24h,4,0.28133696,NA,NA,NA
BRD-K99303177,LINCSCP_203587,ASC,10uM,24h,NA,0.28123917,NA,NA,NA
(-)-Tramadol,LINCSCP_137008,MCF7,0.12uM,24h,NA,0.28107532,NA,NA,NA
CHEMBL2362834,LINCSCP_233963,HUH7,3uM,24h,NA,0.28056033,NA,NA,NA
BRD-K76418961,LINCSCP_59977,VCAP,5uM,6h,NA,0.28043535000000003,0.20142388,-0.22453423,NA
SGX-523,LINCSCP_134246,MCF7,0.04uM,24h,1,0.27963423,NA,NA,NA
179324-69-7,LINCSCP_75779,A375,20uM,24h,NA,0.27934787,NA,NA,NA
SMR000046567,LINCSCP_31095,MCF7,10uM,6h,NA,0.279285,NA,NA,NA
TL_HRAS26,LINCSCP_41833,NOMO1,10uM,6h,NA,0.2784879,0.38371937,NA,NA
ASC-J9,LINCSCP_71349,A375,10uM,24h,NA,0.27834939,NA,NA,NA
Albendazole,LINCSCP_79917,A375,3.33uM,24h,4,0.27827086,NA,NA,NA
Nilotinib,LINCSCP_96533,HA1E,0.04uM,24h,4,0.27792915,NA,NA,NA
5-Iodo-6-nitro-2-piperazinylquinoline,LINCSCP_43329,NPC,10uM,6h,NA,0.27782327,NA,NA,NA
Lacidipine,LINCSCP_5691,A549,10uM,24h,NA,0.27721619,NA,-0.22517612,NA
Lacidipine,LINCSCP_5691,A549,10uM,24h,4,0.27721619,NA,-0.22517612,NA
Gemifloxacin,LINCSCP_105613,HELA,0.12uM,24h,4,0.27713996,NA,NA,NA
testosterone,LINCSCP_143009,MCF7,10uM,24h,NA,0.27684324,NA,NA,NA
CHEMBL2355890,LINCSCP_50289,PHH,10uM,24h,NA,0.27644519,NA,NA,NA
Withaferin A,LINCSCP_301315,VCAP,10uM,24h,NA,0.27641347,NA,NA,NA
TAK-242,LINCSCP_158096,PC3,0.04uM,24h,NA,0.27576675,NA,-0.29710145,NA
BGT-226,LINCSCP_128617,HUVEC,0.12uM,24h,2,0.27570803,NA,NA,NA
SCHEMBL15444220,LINCSCP_10944,ASC,10uM,24h,NA,0.27559248,NA,NA,NA
STK178014,LINCSCP_15435,HA1E,50uM,24h,NA,0.27539665,NA,NA,NA
BRD-K80400482,LINCSCP_41123,NEU,10uM,24h,NA,0.27531625,0.22585336,-0.23618141,NA
BRD-K74316684,LINCSCP_3729,A375,10uM,24h,NA,0.27516613,NA,NA,NA
Adarotene,LINCSCP_105088,HELA,10uM,24h,NA,0.27489919,NA,-0.21800721,NA
Meclizine,LINCSCP_242184,MCF7,10uM,6h,4,0.27464162,NA,0.23809808,NA
MLS002276522,LINCSCP_31084,MCF7,10uM,6h,NA,0.27427319,NA,NA,NA
Acivicin,LINCSCP_121260,HT29,3.73uM,24h,NA,0.27420112,NA,NA,NA
cortisone-acetate,LINCSCP_79731,A375,0.04uM,24h,NA,0.27418158,NA,NA,NA
"N-(4-{[(1z)-8-Ethoxy-4,4-dimethyl-4,5-dihydro-1H-[1,2]dithiolo[3,4-c]quinolin-1-ylidene]amino}phenyl)acetamide",LINCSCP_50367,PHH,10uM,24h,NA,0.27413532,NA,NA,NA
BRD-K76582515,LINCSCP_60422,VCAP,5uM,24h,NA,0.27409581,NA,NA,NA
BRD-K76150323,LINCSCP_186824,A375,10uM,24h,NA,0.27400602,NA,NA,NA
ZINC01069258,LINCSCP_10812,ASC,10uM,24h,NA,0.27388372,0.27352534,NA,NA
ST070518,LINCSCP_28867,HUH7,3uM,24h,NA,0.27383083,NA,NA,NA
Narciclasine,LINCSCP_36363,MCF7,0.1uM,6h,NA,0.27361845,NA,0.2283358,NA
Mexiletine,LINCSCP_44505,PC3,10uM,24h,4,0.27334358,NA,-0.26363101,NA
Curcumin,LINCSCP_38630,MCF7,33.33uM,24h,NA,0.27325459,NA,NA,NA
Lonidamine,LINCSCP_12862,DV90,100uM,6h,3,0.27320844,NA,NA,NA
Adapalene,LINCSCP_92488,HA1E,3.33uM,24h,4,0.27297471,NA,NA,NA
Ruxolitinib,LINCSCP_115404,HS578T,10uM,3h,4,0.27283938,NA,-0.24213556,NA
Licochalcone A,LINCSCP_89387,HA1E,10uM,24h,NA,0.27278885,NA,NA,NA
Dipraglurant,LINCSCP_159006,PC3,0.37uM,24h,2,0.27276233,NA,NA,NA
BRD-K65300017,LINCSCP_61636,VCAP,5uM,24h,NA,0.2725719,NA,-0.21656222,NA
GSK-1904529A,LINCSCP_29961,MCF10A,10uM,6h,NA,0.27236677,NA,NA,NA
AS-605240,LINCSCP_81678,A549,0.37uM,24h,NA,0.27211582,NA,NA,NA
Tolvaptan,LINCSCP_142398,MCF7,3.33uM,24h,4,0.27201317,NA,-0.30629738,NA
MW-SHH-61,LINCSCP_9930,A549,0.5uM,6h,NA,0.27168807,NA,NA,NA
SCHEMBL570779,LINCSCP_163264,SKBR3,0.04uM,3h,NA,0.27157869,NA,NA,NA
CCT036477,LINCSCP_43534,NPC,10uM,6h,NA,0.27129822,0.37206075,NA,-0.44314116
Dacarbazine,LINCSCP_47634,PC3,10uM,24h,4,0.27123716,NA,NA,NA
GSK-3 Inhibitor IX,LINCSCP_132588,MCF7,3.33uM,24h,NA,0.27110533,NA,NA,NA
STK177393,LINCSCP_28702,HUH7,3uM,24h,NA,0.27068334,NA,NA,NA
BRD-K28065812,LINCSCP_298043,VCAP,5uM,6h,NA,0.27035426,NA,NA,NA
133040-77-4,LINCSCP_33748,MCF7,10uM,6h,NA,0.27031056999999997,NA,NA,NA
Decitabine,LINCSCP_125500,HT29,10uM,24h,4,0.27015076,NA,NA,NA
Broad-Sai-443,LINCSCP_49220,PC3,0.5uM,24h,NA,0.26994193,NA,NA,NA
SU-11652,LINCSCP_51173,RMUGS,10uM,6h,NA,0.26989496,0.3856342,NA,-0.40808212
Avrainvillamide Analog 3,LINCSCP_17326,HA1E,10uM,24h,NA,0.26980866,NA,NA,NA
Arctigenin,LINCSCP_11301,ASC,10uM,24h,NA,0.26971406,NA,NA,NA
BRD-A72596465,LINCSCP_310094,VCAP,30uM,6h,NA,0.26952385,NA,NA,NA
Buparlisib,LINCSCP_51994,SKBR3,0.5uM,6h,3,0.26949414,NA,-0.25278376,NA
Antimycin A,LINCSCP_10985,ASC,10uM,24h,NA,0.26923263,NA,NA,NA
Antimycin A,LINCSCP_10985,ASC,10uM,24h,NA,0.26923263,NA,NA,NA
Batimastat,LINCSCP_71019,A375,10uM,24h,NA,0.26887749,NA,NA,NA
CI-1040,LINCSCP_51549,SKBR3,10uM,6h,2,0.26864323,NA,NA,NA
Tubastatin A,LINCSCP_49209,PC3,3uM,24h,NA,0.2684263,NA,NA,NA
ML239,LINCSCP_15224,HA1E,10uM,24h,NA,0.26770961,NA,NA,NA
Gemfibrozil,LINCSCP_102849,HELA,10uM,24h,4,0.26767543,NA,NA,NA
"Triazolothiadiazine, 23",LINCSCP_31169,MCF7,10uM,24h,NA,0.26750493,NA,-0.24803399,NA
BRD-K43151809,LINCSCP_27521,HT29,5uM,24h,NA,0.26748144,NA,-0.27091048,NA
CHEMBL585951,LINCSCP_69549,A375,3.33uM,24h,NA,0.26708821,0.22793335,-0.23992409,NA
BRD-K26822808,LINCSCP_7802,A549,10uM,24h,NA,0.2668406,NA,NA,NA
CG-930,LINCSCP_24611,HS578T,0.5uM,6h,NA,0.26666512,NA,NA,NA
Tosedostat,LINCSCP_143211,MCF7,0.12uM,24h,2,0.26662511,NA,NA,NA
SD 169,LINCSCP_548,A375,10uM,6h,NA,0.26662474,NA,-0.31566779,NA
"2-(3,4-Dichlorophenyl)-2,3-dihydro-1,3-benzoxazole",LINCSCP_28699,HUH7,3uM,24h,NA,0.2656462,NA,NA,NA
BRD-K55561254,LINCSCP_27809,HT29,5uM,24h,NA,0.26557371,NA,NA,NA
SU14813,LINCSCP_79379,A375,10uM,24h,NA,0.26552563,NA,NA,NA
Disulfiram,LINCSCP_101952,HELA,1.11uM,24h,4,0.26528451,NA,NA,NA
Sulconazole,LINCSCP_14373,HA1E,10uM,24h,4,0.2646843,NA,NA,NA
RO-281675,LINCSCP_51120,RMUGS,100uM,6h,NA,0.26454027,NA,NA,NA
"3,7-Bis(dimethylamino)phenothiazin-5-ium",LINCSCP_54180,SW620,10uM,6h,3,0.26451176,0.28794428,NA,-0.38546202
JNJ-38877605,LINCSCP_51947,SKBR3,0.1uM,6h,1,0.26442137,NA,NA,NA
ML162,LINCSCP_12895,EFO27,10uM,6h,NA,0.26441501,NA,NA,NA
PF-03758309,LINCSCP_166017,SKL,0.12uM,24h,1,0.26390151,NA,NA,NA
SA-101686,LINCSCP_37383,MCF7,0.5uM,6h,NA,0.26389018,NA,NA,NA
SSR 69071,LINCSCP_33651,MCF7,10uM,24h,NA,0.26373004,NA,NA,NA
Lypressin,LINCSCP_58965,VCAP,10uM,24h,4,0.26372713,NA,NA,NA
BAS 02002358,LINCSCP_19675,HCC515,10uM,6h,NA,0.26368391,NA,NA,NA
Pifithrin MU,LINCSCP_13100,FIBRNPC,10uM,6h,NA,0.26354434,NA,NA,NA
BRD-K93666423,LINCSCP_64129,VCAP,5uM,6h,NA,0.26349285,NA,-0.21195944,NA
MLS-0390843.0001,LINCSCP_15765,HA1E,10uM,24h,NA,0.26268501,NA,NA,NA
Cymarin,LINCSCP_64871,VCAP,10uM,24h,NA,0.26261999,NA,-0.20980747,NA
Cymarin,LINCSCP_64871,VCAP,10uM,24h,NA,0.26261999,NA,-0.20980747,NA
Cymarin,LINCSCP_64871,VCAP,10uM,24h,NA,0.26261999,NA,-0.20980747,NA
Cymarin,LINCSCP_64871,VCAP,10uM,24h,NA,0.26261999,NA,-0.20980747,NA
BRD-A28746609,LINCSCP_92363,HA1E,1.11uM,24h,NA,0.26241364,0.27658771,NA,NA
Tamatinib,LINCSCP_69364,A375,1.11uM,24h,2,0.26211016,0.25526571,NA,-0.3074345
Tipifarnib,LINCSCP_158580,PC3,0.37uM,24h,3,0.2620748,NA,NA,NA
Baricitinib,LINCSCP_136868,MCF7,1.11uM,24h,4,0.26207437,NA,-0.24474052,NA
BRD-K09110452,LINCSCP_65401,VCAP,10uM,6h,NA,0.26201831,NA,-0.26189409,NA
BRD-K49215584,LINCSCP_61049,VCAP,5uM,24h,NA,0.26190285,NA,NA,NA
196868-63-0,LINCSCP_33231,MCF7,10uM,6h,NA,0.26147911,NA,NA,NA
MLS003079540,LINCSCP_57690,VCAP,10uM,6h,NA,0.26142797,NA,NA,NA
CHEMBL436817,LINCSCP_30727,MCF7,40uM,6h,NA,0.26142697,NA,0.24410741,NA
Licoagrochacone A,LINCSCP_43689,NPC,10uM,6h,NA,0.26142334,NA,NA,NA
MGCD-265,LINCSCP_165178,SKL.C,0.12uM,24h,2,0.26109343,NA,NA,NA
Enzastaurin,LINCSCP_51465,SKBR3,1uM,24h,3,0.26106984,NA,NA,NA
GLPG0634,LINCSCP_71528,A375,10uM,24h,3,0.26072509,NA,NA,NA
BRD-K72462994,LINCSCP_310173,VCAP,10uM,6h,NA,0.26066251,NA,NA,NA
PK-11195,LINCSCP_30703,MCF7,100uM,6h,NA,0.26065227,NA,NA,NA
MFCD00671792,LINCSCP_7081,A549,10uM,24h,NA,0.26064924,0.24680229,NA,NA
Ttnpb,LINCSCP_2369,A375,10uM,6h,NA,0.26013061,NA,-0.24389163,NA
BRD-K43838150,LINCSCP_65286,VCAP,10uM,24h,NA,0.26000576,0.20961604,NA,NA
Tanaproget,LINCSCP_127576,HT29,10uM,24h,NA,0.25994595,NA,NA,NA
BRD-K04309313,LINCSCP_48719,PC3,10uM,24h,NA,0.25979961,NA,NA,-0.29331238
CL-976,LINCSCP_30878,MCF7,80uM,6h,NA,0.2597412,NA,NA,NA
CHEMBL2137269,LINCSCP_27256,HT29,10uM,6h,NA,0.25942632,NA,-0.21397627,NA
BRD-K93140279,LINCSCP_62110,VCAP,5uM,6h,NA,0.25917203,NA,NA,NA
Rottlerin,LINCSCP_105410,HELA,0.04uM,24h,NA,0.25887512,NA,-0.26121425,NA
AG490,LINCSCP_14264,HA1E,10uM,6h,NA,0.25883935,NA,NA,NA
BRD-K82004089,LINCSCP_62694,VCAP,5uM,24h,NA,0.25880385,NA,NA,NA
Apigenin Triacetate,LINCSCP_33719,MCF7,10uM,6h,NA,0.25877893,NA,NA,NA
KUC104493,LINCSCP_57767,VCAP,10uM,24h,NA,0.25871309,NA,NA,NA
QL47,LINCSCP_36563,MCF7,1uM,24h,NA,0.25847221,NA,NA,NA
MLS002699429,LINCSCP_201303,A549,10uM,6h,NA,0.25846433,NA,NA,NA
Sulfadoxine,LINCSCP_136921,MCF7,3.33uM,24h,4,0.25842861,NA,-0.22310785,NA
Fenretinide,LINCSCP_240511,MCF7,10uM,6h,3,0.25839445,NA,NA,NA
BRD-K90619727,LINCSCP_65539,VCAP,10uM,6h,NA,0.25802594,NA,-0.20834592,NA
HG-5-113-01,LINCSCP_52314,SKB,10uM,24h,NA,0.25799509,NA,NA,NA
Regorafenib,LINCSCP_71487,A375,10uM,24h,4,0.25793577,NA,-0.24680576,NA
Tacedinaline,LINCSCP_171787,YAPC,3.33uM,24h,3,0.25792246,0.23747144,NA,-0.272475
karakoline,LINCSCP_121901,HT29,10uM,24h,NA,0.2578209,NA,NA,NA
Lanacordin,LINCSCP_27283,HT29,10uM,6h,NA,0.25762743,0.28264518,NA,-0.3866721
AC1Q6JJ5,LINCSCP_251126,MCF7,0.001uM,6h,NA,0.25742009,0.2812588,NA,NA
DOCETAXEL,LINCSCP_93078,HA1E,0.12uM,24h,NA,0.25705824,NA,NA,NA
Tranilast,LINCSCP_71633,A375,0.12uM,24h,3,0.25704527,NA,NA,NA
BRD-K36200934,LINCSCP_8481,A549,5uM,24h,NA,0.25665563,NA,NA,NA
TAS-103 (dihydrochloride),LINCSCP_102716,HELA,0.04uM,24h,NA,0.25657426,NA,-0.24664888,NA
BRD-K86715531,LINCSCP_61170,VCAP,5uM,6h,NA,0.25634169,NA,NA,NA
Omacetaxine Mepesuccinate,LINCSCP_36165,MCF7,0.01uM,6h,4,0.25628918,NA,NA,NA
Licarbazepine,LINCSCP_154739,PC3,10uM,24h,3,0.25620744,NA,NA,NA
Erlotinib,LINCSCP_24805,HS578T,0.1uM,24h,4,0.25614588,NA,NA,NA
Amthamine,LINCSCP_11562,ASC,10uM,24h,NA,0.25601599,NA,NA,NA
Phorbol Myristate Acetate,LINCSCP_28848,HUH7,3uM,24h,NA,0.25577243,NA,NA,NA
BRD-K63442512,LINCSCP_59784,VCAP,5uM,6h,NA,0.25577022,NA,NA,NA
