integratedMoas,Target,GeneTargets,N
PDGFR tyrosine kinase receptor inhibitor,Pazopanib|Motesanib|Imatinib|Ponatinib|Amuvatinib|Dasatinib|Linifanib|Dovitinib|CHEMBL2136735|RG 13022,CSF1R|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|LCK|PDGFRA|PDGFRB|RET|ABL1|BCR|FGFR2|FGFR4|FLT3|TEK|MET|BLK|EPHA2|FGR|FRK|FYN|HCK|LYN|SRC|SRMS|YES1|EGFR|NA,79
KIT inhibitor,Pazopanib|Motesanib|Imatinib|Amuvatinib|Dasatinib|Midostaurin|OSI-930,CSF1R|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|LCK|PDGFRA|PDGFRB|RET|ABL1|BCR|FLT3|MET|BLK|EPHA2|FGR|FRK|FYN|HCK|LYN|SRC|SRMS|YES1|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,63
VEGFR inhibitor,Pazopanib|Motesanib|Linifanib|Dovitinib|OSI-930|CHEMBL2136735|MGCD-265|Semaxanib|C19H19FN4O3,CSF1R|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|LCK|PDGFRA|PDGFRB|RET|FLT3|EGFR|FGFR2|AXL|MET|MST1R|TEK,62
CDK inhibitor,AZD-5438|Seliciclib|AT-7519|Palbociclib|Indigo Red|N9-Isopropylolomoucine,CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|CCND1|GSK3A,53
FLT3 inhibitor,BMS-777607|Ponatinib|Amuvatinib|AT-9283|Dovitinib|Midostaurin,AXL|MERTK|MET|MST1R|TYRO3|ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KIT|RET|TEK|PDGFRA|AURKA|AURKB|JAK2|JAK3|EGFR|FLT1|FLT4|KDR|PDGFRB|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,52
Serotonin receptor antagonist,Risperidone|Sertindole|Melperone|Mianserin|Scoulerine|Clozapine,ADRA1A|ADRA1B|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1D|HTR2A|HTR2C|ADRA1D|HTR2B|HTR6|HTR7|ADRA2A|GABRA1|CHRM1|CHRM2|CHRM3|CHRM4|DRD1|HRH4|HTR1B|HTR1E,49
Adrenergic receptor antagonist,Urapidil|Carteolol|Imiloxan|Propranolol|CHEBI:48565|Doxazosin|Phentolamine|Labetalol|Bisoprolol|Metoprolol|Alfuzosin|Pindolol|Scoulerine,HTR1A|ADRB1|ADRB2|ADRB3|ADRA2A|ADRA2B|ADRA2C|HTR1B|HTR1D|HTR2B|ADRA1A|ADRA1B|ADRA1D|GABRA1,46
Vascular endothelial growth factor receptor inhibitor,Lenvatinib (E7080)|Sunitinib|Vandetanib,FLT1|FLT4|KDR|CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET|EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|PTK6|SRC|TEK,46
Tyrosine-protein kinase receptor RET inhibitor,Sunitinib|Vandetanib|Alectinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET|EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|PTK6|SRC|TEK|ALK,45
Dopamine receptor antagonist,Risperidone|Sertindole|Piperacetazine|Raclopride|Droperidol|Melperone|Clozapine,ADRA1A|ADRA1B|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1D|HTR2A|HTR2C|NA|CHRM1|CHRM2|CHRM3|CHRM4|DRD1|HRH4|HTR1B|HTR1E|HTR6|HTR7,39
Bcr-Abl kinase inhibitor,Imatinib|Ponatinib|Dasatinib|AT-9283,ABL1|BCR|CSF1R|KIT|PDGFRA|PDGFRB|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|RET|TEK|BLK|EPHA2|FGR|FRK|FYN|HCK|LCK|LYN|SRC|SRMS|YES1|AURKA|AURKB|JAK2|JAK3,37
PLK inhibitor,LY-294002|GW843682X|GSK-461364|HMN-214|Rigosertib|ON-01910,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC|PLK3|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET|CDK1|F2R|FYN|PDGFRA|PLK2|SRC,33
Tubulin inhibitor,Ixabepilone|ABT-751|Colchicine|BRD-K86858124-001-01-2|Flubendazole,TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8|NA|NR1I2,32
