integratedMoas,Target,GeneTargets,N
GABA receptor antagonist,Securinine|Primidone|Scoulerine,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|ADRA1D|ADRA2A,31
Epidermal growth factor receptor inhibitor,Dacomitinib|Vandetanib,EGFR|ERBB2|ERBB3|ERBB4|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,29
Tyrosine kinase inhibitor,BMS-777607|Tivantinib|CP-724714|Dasatinib|Hypericin|C28H30CIN5O4S|IN1345|Genistein,AXL|MERTK|MET|MST1R|TYRO3|ERBB2|ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1|NA|EGFR|CFTR|ESR2,27
PI3-kinase class I inhibitor,GDC-0980 (RG7422)|Taselisib|PF-04691502,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5,26
Tyrosine-protein kinase SRC inhibitor,KX2-391|Vandetanib,SRC|EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|TEK,26
Ephrin receptor inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
FGFR inhibitor,Dovitinib|CHEMBL2136735|Infigratinib|C19H19FN4O3,EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|FGFR4,25
Tyrosine-protein kinase BRK inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Tyrosine-protein kinase TIE-2 inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Adrenergic receptor agonist,Dipivefrin|SPECTRUM_001418|Oxymetazoline|Cyclobenzaprine|Nylidrin|Tizanidine|Cirazoline,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|HTR2A|HTR2C,23
PI3K inhibitor,PI-103|AS-605240|TORIN1|Idelalisib|GSK 1059615|PIK 90|NU-7026|CHEMBL1242477,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|NA|PRKDC,23
MTOR inhibitor,LY-294002|TORIN-2|PI-103|TORIN1|AZD-8055|WYE 354|NU-7026|SCHEMBL17052537,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC|BTK|JAK3|MKNK2,22
Tyrosine-protein kinase receptor FLT3 inhibitor,Sunitinib|KW-2449,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET|ABL1|AURKA|AURKB,22
Cell cycle inhibitor,AT-7519,CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9,20
Sodium channel alpha subunit blocker,Carbamazepine|Rufinamide,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,20
Vascular endothelial growth factor receptor 2 inhibitor,Cabozantinib|TG 100801|CHIR-265,KDR|MET|BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|LCK|LYN|PDGFRB|SRC|SRMS|YES1|BRAF,20
Acetylcholine receptor antagonist,Mebeverine|Gelsemine|Darifenacin|Glycopyrrolate|CHEMBL59836|Flavoxate,CHRM1|GLRA3|CHRM2|CHRM3|CHRM4|CHRM5|PDE4A|PDE4B|PDE4C|PDE4D|PDE7A|PDE7B|PDE8A|PDE8B,19
Benzodiazepine receptor agonist,Diazepam|Zaleplon,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,19
EGFR inhibitor,Tyrphostin AG-1478|SCHEMBL17857056|CP-724714|N-Benzylquinazolin-4-amine|Erlotinib|Dovitinib|IN1345|Lapatinib,EGFR|NA|ERBB2|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,19
Sodium channel blocker,Amiloride|Ambroxol|9-Epiquinine|STK009254|Tocainide|Butamben,ASIC1|ASIC2|SCNN1A|SCNN1B|SCNN1G|CYP3A4|SCN5A|INS|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN7A|SCN8A|SCN9A|NA,19
Aurora kinase inhibitor,MLN-8054|331771-20-1|AZD-1152-HQPA|SCHEMBL16980224|Danusertib|AT-9283,AURKA|AURKB|AURKC|FGFR1|NTRK1|RET|ABL1|FLT3|JAK2|JAK3,18
Glutamate receptor antagonist,Norketamine|6266-99-5|Mpep|Fenobam|Amantadine,CYP3A4|GRM5|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B,18
Macrophage colony stimulating factor  receptor  inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
PKC inhibitor,PKC Beta Inhibitor|Enzastaurin|Midostaurin,PRKCB|FLT3|KDR|KIT|PDGFRA|PDGFRB|PRKCA|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,18
Phosphodiesterase inhibitor,Zaprinast|LY-294002|Sildenafil|Ketotifen|SCHEMBL6465902|Irsogladine|Etazolate|Cilostamide|27277-00-5|Resorcinol Monoacetate,PDE5A|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC|HRH1|PDE4A|GABRB3|PDE3A|PDE3B|NA,18
Platelet-derived growth factor receptor inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Serine/threonine-protein kinase mTOR inhibitor,GDC-0980 (RG7422)|PF-04691502,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5,18
Stem cell growth factor receptor inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Ephrin inhibitor,CHEMBL552425|Dasatinib|SCHEMBL15556278,DDR1|ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1,17
Src inhibitor,Dasatinib|Saracatinib,ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1,17
Ephrin type-B receptor 4 inhibitor,TG 100801,BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|KDR|LCK|LYN|PDGFRB|SRC|SRMS|YES1,16
Fibroblast growth factor receptor 1 inhibitor,TG 100801,BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|KDR|LCK|LYN|PDGFRB|SRC|SRMS|YES1,16
Fibroblast growth factor receptor 2 inhibitor,TG 100801,BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|KDR|LCK|LYN|PDGFRB|SRC|SRMS|YES1,16
GABA-A receptor; anion channel positive allosteric modulator,CLONAZEPAM,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,16
Platelet-derived growth factor receptor beta inhibitor,TG 100801,BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|KDR|LCK|LYN|PDGFRB|SRC|SRMS|YES1,16
SRC inhibitor,TG 100801,BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|KDR|LCK|LYN|PDGFRB|SRC|SRMS|YES1,16
Vascular endothelial growth factor receptor 1 inhibitor,TG 100801,BLK|EPHB4|FGFR1|FGFR2|FGR|FLT1|FRK|FYN|HCK|KDR|LCK|LYN|PDGFRB|SRC|SRMS|YES1,16
Cyclooxygenase inhibitor,Sulindac|100599-27-7|38194-50-2|Celecoxib|Fentiazac|Ebselen|Aminosalicylic acid|Etofenamate,AKR1B1|PTGS1|PTGS2|NA,15
Dopamine receptor agonist,Pramipexole|Dipropyldopamine|N-Beta-alanyldopamine|R-N-Propylnorapomorphine|Ropinirole,DRD2|DRD3|DRD4|NA|DRD1|DRD5,14
MEK inhibitor,PD-0325901|CI-1040|Trametinib|CHEMBL3182395|Selumetinib|PD-98059|Nobiletin|AZD-8330,MAP2K1|MAP2K2|MAP2K5|MAPK7,14
NFkB pathway inhibitor,Parthenolide|Ursolic acid|Quinacrine|Erythromycin Ethylsuccinate|Erythromycin,NA|HSD11B1|PTPN1|TP53|ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1,13
Protein synthesis inhibitor,3-Chloro-l-alanine|Isocycloheximide|Cycloheximide|Rifabutin|Erythromycin Ethylsuccinate|Mercaptopurine,RPS2|RPL3|NA|ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1|PPAT,13
HDAC inhibitor,Belinostat,HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,11
Hepatocyte growth factor receptor inhibitor,"Cabozantinib|BMS-777607|N-(3-Fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazole-4-carboxamide|SGX-523|MK-2461|C28H30CIN5O4S",KDR|MET|AXL|MERTK|MST1R|TYRO3|NA,11
Protein kinase inhibitor,PD-0325901|MLN-8054|SCHEMBL3958507|AT-9283,MAP2K1|MAP2K2|AURKA|COQ8B|EGFR|ABL1|AURKB|FLT3|JAK2|JAK3,11
GABA receptor agonist,Gaboxadol,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD,10
Local anesthetic,Benoxinate,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,10
Serotonin receptor agonist,Buspirone|Cyclobenzaprine|BP-554|Sumatriptan|Anpirtoline|Tryptoline,HTR1A|HTR2A|HTR2C|HTR1B|HTR1D|HTR1F|NA,10
Calcium channel blocker,Lidoflazine|Nitrendipine|Nicardipine|Cinnarizine,NA|CACNA1C|CACNA1D|CACNA2D1|CACNA1F|CACNA1S|HRH1,9
DNA dependent protein kinase inhibitor,LY-294002|NU1025|NU-7026,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC|PARP1,9
Cytochrome P450 inhibitor,Erythromycin Ethylsuccinate|apigenin,ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1|NA,8
Epidermal growth factor receptor erbB1 inhibitor,Varlitinib|Dacomitinib|TAK-285,EGFR|ERBB2|ERBB3|ERBB4,8
HIV protease inhibitor,Efavirenz|Ursolic acid,CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4|HSD11B1|PTPN1,8
Histamine receptor antagonist,E-Doxepin|Pyrilamine|Emedastine|Chloropyramine|Ranitidine,HRH1|HRH2|SLC6A2|SLC6A4,8
IGF-1 inhibitor,Linsitinib|CHEMBL3186197|BMS-536924|BMS-754807|NVP-AEW541,IGF1R|INSR,8
Receptor protein-tyrosine kinase erbB-2 inhibitor,Varlitinib|Dacomitinib|TAK-285,EGFR|ERBB2|ERBB3|ERBB4,8
Reverse transcriptase inhibitor,Stavudine|Nevirapine,NA|CYP1A2|CYP2A6|CYP2B6|CYP2C9|CYP2D6|CYP3A4|CYP3A5,8
Rho associated kinase inhibitor,"Y-39983|Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-|Y-27632|Fasudil",ROCK1|ROCK2,8
Acetylcholine receptor agonist,Nicotine|Diphenidol,CHRNA10|CHRNA4|CHRNA9|CHRNB2|CHRM1|CHRM3|CHRM4,7
JNK inhibitor,Pyrazolanthrone|AS601245,MAPK10|MAPK8|MAPK9|TTK,7
MAP kinase inhibitor,PD-0325901|FR-180204|COT Inhibitor-2|XMD 8-92|PD-98059,MAP2K1|MAP2K2|MAPK1|MAPK3|NA|MAPK7,7
Mitotic inhibitor,MLN-8054|AT-9283,AURKA|ABL1|AURKB|FLT3|JAK2|JAK3,7
Monoamine oxidase inhibitor,Desoxypeganine|Moclobemide|Tryptoline|Tranylcypromine,ACHE|MAOA|NA|KDM1A|MAOB,7
Motilin receptor agonist,Erythromycin Ethylsuccinate,ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1,7
PARP inhibitor,AG 14361|Rucaparib|NU1025|IWR-1-ENDO,PARP1|PARP2|PARP3|TNKS|TNKS2,7
AKT inhibitor,C21H27N7O3|Honokiol|10-DEBC,AKT1|AKT2|AKT3|PRKCQ|NA|PIM1,6
Abl kinase inhibitor,AT-9283,ABL1|AURKA|AURKB|FLT3|JAK2|JAK3,6
Adenosine receptor agonist,AC1NWAUW|SCHEMBL7531261|Adenosine,PRKACA|NA|ADORA1|ADORA2A|ADORA2B|ADORA3,6
Anticancer agent,Lenalidomide|L-Sulforaphane,CRBN|CUL4A|DDB1|RBX1|TNF|NFE2L2,6
C-Met inhibitor,BMS-777607|PF-04217903,AXL|MERTK|MET|MST1R|TYRO3,6
Estrogen receptor agonist,STOCK1N-09285|SPECTRUM_001048|Estriol,ESR1|ESR2|NR1I2,6
Gamma-secretase inhibitor,Avagacestat (BMS-708163),APH1A|APH1B|NCSTN|PSEN1|PSEN2|PSENEN,6
Growth factor receptor inhibitor,Danusertib,AURKA|AURKB|AURKC|FGFR1|NTRK1|RET,6
JAK inhibitor,AT-9283,ABL1|AURKA|AURKB|FLT3|JAK2|JAK3,6
Macrophage inhibitor,BMS-777607|4-Iodo-6-phenylpyrimidine,AXL|MERTK|MET|MST1R|TYRO3|MIF,6
Progesterone receptor agonist,SPECTRUM_000886|Progesterone|ZINC04062252,ESR1|GNRHR|CYP17A1|NR3C2|PGR,6
Pyruvate dehydrogenase kinase inhibitor,BX 912|GSK-2334470|AZD7545,PDK1|PDPK1|NA,6
ALK tyrosine kinase receptor inhibitor,Crizotinib|TAE-684|Alectinib,ALK|MET|RET,5
AXL kinase inhibitor,BMS-777607,AXL|MERTK|MET|MST1R|TYRO3,5
Acetylcholinesterase inhibitor,Ursolic acid|Desoxypeganine|Neostigmine,HSD11B1|PTPN1|ACHE|MAOA,5
Apoptosis stimulant,Fenretinide|YK 4-279|Glycodeoxycholate|Peucedanin,RARA|DHX9|FLI1|NA,5
BCL inhibitor,Navitoclax|BH3I-1&PRIME;|CHEMBL1269202,BCL2|BCL2L1|BCL2L2,5
D2-like dopamine receptor inverse agonist,Haloperidol,DRD1|DRD2|DRD3|DRD4|HTR2A,5
Glycogen synthase kinase inhibitor,CHIR-99021|SB-216763|Indigo Red,NA|GSK3B|CDK1|CDK5|GSK3A,5
Peroxisome proliferator-activated receptor gamma agonist,Troglitazone|Inolitazone (dihydrochloride)|Rosiglitazone|BRD-K00544996,PPARG|PPARA,5
Phospholipase activator,M3M3FBS,PLCB2|PLCB3|PLCD1|PLCG1|PLCG2,5
Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a,Haloperidol,DRD1|DRD2|DRD3|DRD4|HTR2A,5
Sphingosine 1-phosphate receptor agonist,Fingolimod (FTY720) HCl,S1PR1|S1PR2|S1PR3|S1PR4|S1PR5,5
Voltage-gated L-type calcium channel blocker,Nifedipine,CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1,5
mTOR inhibitor,"Everolimus|Temsirolimus (CCI-779, NSC 683864)|Ridaforolimus (Deforolimus, MK-8669)|936890-98-1",FKBP1A|MTOR,5
Bacterial DNA gyrase inhibitor,Epigalocatechin Gallate|Gatifloxacin|Clinafloxacin|Moxifloxacin,FASN|NA,4
CCK receptor antagonist,Lintitript|LY288513|Lorglumide,CCKAR|CCKBR,4
CRL4(CRBN) E3 ubiquitin ligase inhibitor,Pomalidomide,CRBN|CUL4A|DDB1|RBX1,4
Carbonic anhydrase inhibitor,Methazolamide,CA1|CA2|CA4|CA7,4
DNA (cytosine-5)-methyltransferase 1 inhibitor (DNA,Azacitidine,DNMT1|DNMT3A,4
DNA (cytosine-5)-methyltransferase 3A inhibitor (DNA,Azacitidine,DNMT1|DNMT3A,4
DNA topoisomerase II inhibitor,Voreloxin (Hydrochloride)|ETOPOSIDE,TOP2A|TOP2B,4
Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,"RO4987655|MEK162 (ARRY-162, ARRY-438162)",MAP2K1|MAP2K2,4
Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,"RO4987655|MEK162 (ARRY-162, ARRY-438162)",MAP2K1|MAP2K2,4
Insulin secretagogue,Glimepiride,ABCC8|KCNJ11,4
Leukotriene receptor antagonist,FPL-55712|Ketotifen|Pranlukast,NA|HRH1|CYSLTR1|CYSLTR2,4
Phosphodiesterase 4 inhibitor,Apremilast (CC-10004),PDE4A|PDE4B|PDE4C|PDE4D,4
Prostanoid EP1 receptor agonist,Alprostadil,PTGER1|PTGER2,4
Prostanoid EP2 receptor agonist,Alprostadil,PTGER1|PTGER2,4
RAD51 inhibitor,Amuvatinib,FLT3|KIT|MET|PDGFRA,4
RAF inhibitor,PLX-4720|SB590885|AZ628,BRAF|RAF1,4
RET tyrosine kinase inhibitor,Amuvatinib,FLT3|KIT|MET|PDGFRA,4
Receptor protein-tyrosine kinase erbB-4 inhibitor,Dacomitinib,EGFR|ERBB2|ERBB3|ERBB4,4
Retinoic acid receptor agonist,Tretinoin,RARA|RARB|RARG|RORB,4
Serine/threonine-protein kinase Aurora-A inhibitor,KW-2449,ABL1|AURKA|AURKB|FLT3,4
Serine/threonine-protein kinase Aurora-B inhibitor,KW-2449,ABL1|AURKA|AURKB|FLT3,4
TRPV agonist,Arvanil|Capsaicin|Dihydrocapsaicin,CNR1|TRPV1|NA,4
Tyrosine-protein kinase ABL inhibitor,KW-2449,ABL1|AURKA|AURKB|FLT3,4
Vasodilator,Khellin|Minoxidil,NA|ABCC9|KCNJ11|KCNJ8,4
ATM kinase inhibitor,CP466722|CGK733,ATM|ATR,3
ATPase inhibitor,Ursolic acid|SCH-28080,HSD11B1|PTPN1|ATP4A,3
Acetylcholine release stimulant,DMP-543|Bifemelane,NA|MAOA|MAOB,3
Adrenergic receptor alpha-1 agonist,Phenylephrine,ADRA1A|ADRA1B|ADRA1D,3
Angiotensin receptor antagonist,114798-26-4|Candesartan,AGTR1,3
CHK inhibitor,PF477736|SCHEMBL1564574,CHEK1|CHEK2,3
Calmodulin antagonist,STO609|Zaldaride,CAMKK1|CAMKK2|CALM1,3
Caspase inhibitor,MLS003179192|Ursolic acid,NA|HSD11B1|PTPN1,3
DNA synthesis inhibitor,Cis-Platin|SCHEMBL3655059|Trioxsalen,XIAP|RRM1|NA,3
Estrogen receptor antagonist,"2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine|SPECTRUM_000886",ESR1|GNRHR,3
G protein-coupled receptor 44 antagonist,Donitriptan hydrochloride,HTR1B|HTR1D|PTGDR2,3
Glucocorticoid receptor agonist,ZINC03876097|clobetasol|ZINC03977775,NR3C1,3
KATP activator,Minoxidil,ABCC9|KCNJ11|KCNJ8,3
Kir6 channel (KATP) activator,Minoxidil,ABCC9|KCNJ11|KCNJ8,3
Leukotriene inhibitor,Ubenimex|Zileuton,LTA4H|RNPEP|ALOX5,3
Nitric oxide stimulant,Isosorbide Mononitrate,GUCY1A2|GUCY1A3|GUCY1B3,3
Norepinephrine reuptake inhibitor,Nisoxetine|Venlafaxine,SLC6A2|SLC6A4,3
Opioid receptor antagonist,Naltrexone,OPRD1|OPRK1|OPRM1,3
P38 MAPK inhibitor,VX-745|SB-202190|TAK-715,MAPK14,3
PPAR receptor agonist,IN1304|Clofibric acid|AC1O44XP,PPARG|PPARA,3
Prostanoid IP receptor agonist,iloprost,PTGER1|PTGER2|PTGIR,3
Protein farnesyltransferase inhibitor,Lonafarnib,CHURC1-FNTB|FNTA|FNTB,3
Retinoid X receptor agonist,Bexarotene,RXRA|RXRB|RXRG,3
Serine/threonine kinase inhibitor,BG-STK33-59|CHEMBL2203528|CHEMBL2204241,NA,3
Serine/threonine-protein kinase AKT inhibitor,Ipatasertib,AKT1|AKT2|AKT3,3
Serotonin 1b (5-HT1b) receptor agonist (Serotonin 1b,Donitriptan hydrochloride,HTR1B|HTR1D|PTGDR2,3
Serotonin 1d (5-HT1d) receptor agonist (Serotonin 1d,Donitriptan hydrochloride,HTR1B|HTR1D|PTGDR2,3
Sulfonylurea,Gliquidone|Glipizide,ABCC8|KCNJ11,3
TGF beta receptor inhibitor,SB-431542|SB525334,ACVR1C|TGFBR1,3
TP53 activator,Quinacrine|Securinine,TP53|GABRA1,3
Thyroid hormone stimulant,MLS002576689|Levothyroxine,TSHR|THRA|THRB,3
Topoisomerase inhibitor,Pinostrobin|Pirarubicin|Enoxacin,PLA2G1B|TOP2A|NA,3
Tyrosine phosphatase inhibitor,Ursolic acid|AC1MEVG9,HSD11B1|PTPN1,3
