integratedMoas,Target,GeneTargets,N
HDAC inhibitor,"NCH-51|Trichostatin|SCHEMBL2704865|Oxamflatin|M-344|Apicidin|Trichostatin A, Streptomyces Sp.|Scriptaid|Apatinib Hydrochloride|CAY10603|LBH-589|Mocetinostat|Entinostat|Suberohydroxamic acid|Tacedinaline|Panobinostat|Broad-Sai-560|5-Nitroso-8-cinnolinol|Quisinostat|4LY1|Givinostat|Dacinostat|PCI-34051|CHEMBL1923808",HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|NA|MDM2,105
FLT3 inhibitor,Fedratinib|Quizartinib|sorafenib|Tozasertib|Sorafenib|ENMD-2076|TCS-359|Tandutinib|Lestaurtinib,FLT3|JAK2|CSF1R|KIT|PDGFRA|PDGFRB|RET|BRAF|DDR2|FGFR1|FLT1|FLT4|KDR|RAF1|ABL1|AURKA|AURKB|AURKC|BCR|FGFR3|SRC|NTRK1|NTRK2|NTRK3,57
NFkB pathway inhibitor,"BRD-A24396574-001-01-5|Manumycin-A|(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one|IMD-0354|BAY-117821|179324-69-7|BDBM50127227|BSPBIO_001592|BRD-A80960055-001-01-7|Auranofin|Gibberellin A3|Avicin-G|CID-2858522|Avicin-D",NA|FNTA|IKBKB|ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1|PTGS1|PTGS2,55
VEGFR inhibitor,Oxindole I|KI8751|Tivozanib|sorafenib|Sorafenib|PD-173074|ENMD-2076|Tyrphostin AG 879|Foretinib|SU4312,KDR|FLT1|FLT4|KIT|PDGFRA|PDGFRB|BRAF|DDR2|FGFR1|FLT3|RAF1|RET|FGFR3|AURKA|AURKB|CSF1R|SRC|ERBB2|NTRK1|MET|TEK,54
PI3K inhibitor,"Dactolisib|Pictilisib|Wortmannin|Apitolisib (gdc-0980, rg7422)|Buparlisib|KU0060648|YM 201636|ZSTK 474|SCHEMBL570779|TGX 221|SAR245409",MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5|PLK1|PRKDC|NA,42
Proteasome inhibitor,179324-69-7|SCH-79797|MG-132,ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1|F2R,40
Dopamine receptor antagonist,Pimozide|SCHEMBL8038519|Fluspirilene|Amoxapine|Pipamperone|10-{3-[4-(2-Chloroethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-phenothiazine|Triflupromazine,DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A|ADRA2A|ADRA2B|ADRA2C|HRH1|HTR1A|HTR2C|HTR6|HTR7|SLC6A2|SLC6A4|HTR2B,37
CDK inhibitor,PHA-793887|CGP 60474|GF-109203|Kenpaullone|Alvocidib,CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|PRKCA|GSK3B|EGFR|PYGM,35
Norepinephrine transporter inhibitor,Trimipramine|Amoxapine|Amitriptyline|Protriptyline|Maprotiline|Atomoxetine,ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4|DRD1|DRD3|DRD4|DRD5|HTR6|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,35
Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a,Promazine|Trimipramine|Pimozide|Chlorpromazine,CHRM5|DRD2|DRD3|DRD4|HTR2A|ADRA1A|ADRA1B|ADRA1D|HRH1|HTR2C|SLC6A2|SLC6A3|SLC6A4|DRD1|DRD5|ADRA2A|ADRA2B|ADRA2C|HTR1A|HTR6|HTR7,35
