integratedMoas,Target,GeneTargets,N
26S proteosome inhibitor,Carfilzomib (PR-171),ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1,38
EGFR inhibitor,Afatinib|SCHEMBL2394914|Pelitinib|Neratinib|Canertinib|N-Benzylquinazolin-4-amine|Dovitinib|C24H25CLFN5O3|WZ-4-145|Gefitinib|CP-724714|Falnidamol,EGFR|ERBB2|ERBB4|NA|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,36
Norepinephrine transporter inhibitor,"Nortriptyline|Maprotiline|Trimipramine|Amitriptyline|(R,S)-Indatraline|Amoxapine",KCNJ10|SLC6A2|SLC6A4|ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR2A|HTR2C|SLC6A3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR6|MAOA|MAOB|DRD1|DRD3|DRD4|DRD5,35
Tubulin inhibitor,BRD-A28746609|Albendazole|Ixabepilone|Mebendazole|Vindesine|Podofilox|BRD-K10916986-001-01-6|Lexibulin,NR1I2|TUBB|NA|TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,35
RET tyrosine kinase inhibitor,sorafenib|Amuvatinib|Sorafenib|sunitinib,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET|MET|PDGFRA,34
PI3K inhibitor,Wortmannin|Buparlisib|Pilaralisib|YM 201636|NU-7026|ZSTK 474|Idelalisib|EX-8678|KU0060648|Pictilisib|SAR245409,PIK3CA|PIK3CG|PLK1|PIK3CB|PIK3CD|PIK3R1|PIK3R2|PIK3R3|PIK3R5|NA|PRKDC,33
Bcr-Abl kinase inhibitor,HY-11007|Tozasertib|Nilotinib|Bosutinib|AT-9283|Imatinib,ABL1|BCR|AURKA|AURKB|AURKC|FLT3|JAK2|KIT|CAMK2G|HCK|LYN|SRC|JAK3|CSF1R|PDGFRA|PDGFRB,30
D2-like dopamine receptor antagonist,Chlorpromazine|Thioridazine|Trifluoperazine|Promazine,ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|CHRM5,30
Epidermal growth factor receptor inhibitor,Osimertinib|Vandetanib,EGFR|ERBB2|ERBB3|ERBB4|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,29
PLK inhibitor,BI-2536|HMN-214|Rigosertib|GW843682X|LY-294002|GSK-461364,PLK1|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET|CDK1|F2R|FYN|PDGFRA|PLK2|SRC|PLK3|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,27
Serotonin receptor antagonist,GR-127935|Metergoline Phenylmethyl Ester|RS-39604|Sertraline|RS-23597-190|Risperidone|Aripiprazole,HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR4|SLC6A4|ADRA1A|ADRA1B|DRD2|DRD3|DRD4|HRH1,27
Aurora kinase inhibitor,Alisertib|MK-5108|Tozasertib|Aurora A Inhibitor I|MLN-8054|331771-20-1|GSK-1070916|AZD-1152HQPA|AZD-1152-HQPA|AT-9283|SCHEMBL16980224,AURKA|AURKB|ABL1|AURKC|BCR|FLT3|JAK2|NA|JAK3,26
RAF inhibitor,sorafenib|Sorafenib|HG-6-64-01|MLS006011051|ZM336372|GW-5074,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET|NA,26
Ephrin receptor inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Tyrosine-protein kinase BRK inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
