integratedMoas,Target,GeneTargets,N
CDK inhibitor,CGP 60474|PHA-793887|AT-7519|AZD-5438|Alvocidib|BMS-387032|Palbociclib|Pentosalen|BML-259|Kenpaullone,CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|EGFR|PYGM|CCND1|NA|GSK3B,83
PI3K inhibitor,"TORIN1|Dactolisib|PI-103|Apitolisib (gdc-0980, rg7422)|PIK-75|AS-605240|AZD-6482|CHEMBL1242477|GSK 1059615|SCHEMBL570779|TGX-115",MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5|NA,44
PDGFR tyrosine kinase receptor inhibitor,Masitinib|Dasatinib|Pazopanib|TSU-68,FGFR3|KIT|LYN|PDGFRA|PDGFRB|ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|LCK|SRC|SRMS|YES1|CSF1R|FGFR1|FLT1|FLT4|ITK|KDR|AURKA|AURKB|FGFR2|FGFR4,40
KIT inhibitor,Masitinib|Dasatinib|Pazopanib|OSI-930,FGFR3|KIT|LYN|PDGFRA|PDGFRB|ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|LCK|SRC|SRMS|YES1|CSF1R|FGFR1|FLT1|FLT4|ITK|KDR,35
Tubulin inhibitor,Colchicine|ABT-751|Parbendazole|Griseofulvin|Vinorelbine|Plinabulin,TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8|NA,33
Dopamine receptor antagonist,Sertindole|Nemonapride|Clozapine|Spiramide|Droperidol|Triflupromazine,DRD2|HTR2A|HTR2C|DRD3|ADRA1A|ADRA1B|CHRM1|CHRM2|CHRM3|CHRM4|DRD1|DRD4|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR6|HTR7|HTR2B,32
VEGFR inhibitor,Pazopanib|OSI-930|C19H19FN4O3|Semaxanib|TSU-68,CSF1R|FGFR1|FGFR3|FLT1|FLT4|ITK|KDR|KIT|LCK|PDGFRA|PDGFRB|AURKA|AURKB|FGFR2|FGFR4,32
MTOR inhibitor,TORIN1|Dactolisib|PI-103|WYE 125132|Sirolimus|AZD-8055|OSI-027|WYE 354|QL-X-138,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5|FKBP1A|BTK|JAK3|MKNK2|PRKDC,31
Adrenergic receptor agonist,Salmeterol|Dipivefrin|Tizanidine|Oxymetazoline|L-Norepinephrine|Dobutamine,ADRB2|ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB3,29
Serotonin receptor antagonist,Sertindole|Nefazodone|Clozapine|Spiramide,DRD2|HTR2A|HTR2C|SLC6A2|SLC6A4|ADRA1A|ADRA1B|CHRM1|CHRM2|CHRM3|CHRM4|DRD1|DRD3|DRD4|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR6|HTR7,29
PI3-kinase class I inhibitor,BGT-226|Taselisib|XL-147,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5,25
