"gene_name","logFC","P.Value"
"0610007C21Rik",2.05348625075,0.00140323207537172
"0610007L01Rik",0.257949317500003,0.0471659079269631
"0610007N19Rik",0.000991833166667178,0.995115804072782
"0610007P08Rik",0.153139908416671,0.285681368934856
"0610007P14Rik",-0.138533186666663,0.219146576391761
"0610007P22Rik",-0.0514507900000005,0.630479201688354
"0610009B22Rik",0.230875845000002,0.107766625222318
"0610009D07Rik",-0.344094836666665,0.0326972587071061
"0610009E02Rik",0.0187766329166674,0.936905138054209
"0610009L18Rik",-0.0671889133333341,0.541234213997795
"0610009O20Rik",0.213942703333334,0.0985658117401718
"0610010F05Rik",1.50592644058334,0.0000776220377900987
"0610010K14Rik",0.334000665000003,0.0293052966905452
"0610010O12Rik",1.09364582541667,0.0000306665058360848
"0610011F06Rik",-0.226016985833333,0.0977830524284598
"0610011L14Rik",-0.0519154841666651,0.65933366338582
"0610012G03Rik",-0.130224072333327,0.288551950897239
"0610030E20Rik",0.218137398916669,0.270672911459651
"0610031J06Rik",-0.157515938333329,0.33097502013913
"0610037L13Rik",-0.0656102574999959,0.586187179531068
"0610037P05Rik",0.225805726666666,0.0824889955946874
"0610039H22Rik",-0.338154109583334,0.11557654865788
"0610040B10Rik",0.976894373500003,0.000390422379113016
"0610040J01Rik",0.0331068841666688,0.785838120775896
"0610042G04Rik",1.7346173045,0.0281339828564594
"0910001L09Rik",-0.217727891666664,0.105157894067277
"100043387",1.35552730966667,0.000369124744954509
"1010001B22Rik",0.546954124500001,0.00593379788992416
"1110001A16Rik",-0.611428864999997,0.00129618434927488
"1110001J03Rik",-0.390246250833332,0.00650286952716515
"1110002B05Rik",-0.0273864099999983,0.862331263126328
"1110002E22Rik",0.244557179666666,0.219410372067504
"1110002J07Rik",0.282135015833336,0.152491300510326
"1110002N22Rik",-0.16783882958333,0.43646503044922
"1110003E01Rik",-0.0634579908333315,0.55023481823265
"1110004E09Rik",-0.202569635833337,0.199879159117405
"1110004F10Rik",-0.21490727333333,0.123781387304186
"1110005A03Rik",-0.361629280833332,0.0135146617789593
"1110006E14Rik",-0.278001769999996,0.210154375140979
"1110007C09Rik",-0.145620305833331,0.272237683610734
"1110008F13Rik",0.0151901116666693,0.910816848189552
"1110008J03Rik",0.39144860675,0.234901717431989
"1110008L16Rik",0.936961370250002,0.000144114836048565
"1110008P14Rik",-0.0380705924999969,0.831209643316209
"1110012J17Rik",0.120095638333336,0.474859233999307
"1110012L19Rik",0.0784813625000069,0.540137938771765
"1110014N23Rik",0.142123311666671,0.253070974147307
"1110017D15Rik",-0.0168378404166649,0.960355766347347
"1110018G07Rik",-0.08624448833333,0.472020431384017
"1110018J18Rik",0.333054837833336,0.0973412366416777
"1110019D14Rik",0.152688020916666,0.232415175981748
"1110020A21Rik",0.295068423000002,0.0298384125614566
"1110020G09Rik",-0.0812040866666646,0.510619697690776
"1110021J02Rik",-0.194444887999999,0.100469436721662
"1110021L09Rik",-0.0071951400000021,0.945737921297685
"1110028C15Rik",-0.180162907833333,0.220206233519285
"1110029L17Rik",0.0813521541666677,0.438111165102457
"1110031I02Rik",-0.0409750533333302,0.828240704587165
"1110032A03Rik",0.0355387752500054,0.822131939739625
"1110032F04Rik",-0.0631441137499937,0.687209246885935
"1110034A24Rik",0.005055127083331,0.967096469498859
"1110034B05Rik",-0.0850148358333307,0.506180934590908
"1110034G24Rik",-0.215278014166662,0.13250975188505
"1110035E04Rik",-0.395603680416665,0.00539512016142584
"1110035H17Rik",0.104323660166668,0.476036191016733
"1110035M17Rik",0.427281085000002,0.0733272543209365
"1110037F02Rik",0.302542805333334,0.131433022258953
"1110038B12Rik",0.229061403333336,0.0833848148233819
"1110038D17Rik",0.158048368333334,0.264917141898236
"1110038F14Rik",-0.192207279166663,0.181331528755369
"1110046J04Rik",-0.087108211583331,0.537370084544126
"1110049F12Rik",-0.0921538291666604,0.416368670053165
"1110051M20Rik",0.203815806666668,0.115079164670739
"1110054M08Rik",-0.311662132416664,0.0646617726701068
"1110054O05Rik",-0.576140905499997,0.00348788500528002
"1110057K04Rik",0.459870637583334,0.0383144790784566
"1110058L19Rik",0.04865737916667,0.667204529430557
"1110059E24Rik",0.242673289166669,0.0591129164101404
"1110059G10Rik",0.474454489583335,0.0180338775097818
"1110059M19Rik",-0.437679678499999,0.547797895453435
"1110065P20Rik",0.0811774183333345,0.484914542095557
"1110067D22Rik",-0.247297854166664,0.109101942222586
"1190002H23Rik",-0.100831761666663,0.593812619300566
"1190002N15Rik",1.30587659716667,0.000608427781297526
"1190003J15Rik",-0.00832070233333404,0.967415984719254
"1190005F20Rik",-0.227699736999995,0.151142861661132
"1190005I06Rik",-0.439758317499997,0.0131134451565145
"1190007F08Rik",0.0135877700000027,0.946951274722088
"1190007I07Rik",-0.0314163876666615,0.911685497622166
"1200009I06Rik",0.0371832979999995,0.916093699184264
"1200011I18Rik",0.101074245000003,0.342773114776488
"1200014J11Rik",0.660399588333338,0.194433483404847
