"gene_name","logFC","P.Value"
"0610007C21Rik",-0.303284374999999,0.0126695091140334
"0610007L01Rik",-0.0941434175000015,0.448855313356257
"0610007N19Rik",0.0589942362499993,0.648566354167322
"0610007P08Rik",0.440761969999999,0.0159712030301826
"0610007P14Rik",0.216527762499998,0.0738231939795259
"0610007P22Rik",0.0447825147500005,0.799896018921549
"0610009B22Rik",-0.5484076925,0.00144573393862734
"0610009D07Rik",0.00669222750000031,0.963280245002668
"0610009E02Rik",0.1587166225,0.443099619323221
"0610009L18Rik",0.0793764025000012,0.480331630006358
"0610009O20Rik",-0.181464099999998,0.127934765837334
"0610010F05Rik",-0.147041595000003,0.333921045136288
"0610010K14Rik",0.149947244999998,0.302779797014315
"0610010O12Rik",-0.0762509277500012,0.673005118949994
"0610011F06Rik",0.286877777500001,0.0194797897278877
"0610011L14Rik",-0.00583734500000155,0.955457136880313
"0610012G03Rik",-0.329352947,0.148295190747777
"0610030E20Rik",-0.0246887149999964,0.856956219392559
"0610031J06Rik",-0.0334182499999987,0.869931211303914
"0610037L13Rik",0.408828975499997,0.0499019493107683
"0610037P05Rik",-0.0163318550000007,0.917522921390041
"0610039H22Rik",0.0734815452500008,0.69057466012506
"0610040B10Rik",-1.1661440175,0.0000117226925130116
"0610040J01Rik",-0.0416337774999995,0.702407102780647
"0610042G04Rik",-0.503752977999998,0.397615527323135
"0910001L09Rik",0.233991625000002,0.064786525575797
"100043387",-0.9745867,0.00105636639273549
"1010001B22Rik",-0.113484597000001,0.41770152768152
"1110001A16Rik",0.432754805,0.0135010699130686
"1110001J03Rik",0.592402450000002,0.000396222027903777
"1110002B05Rik",0.0577975500000019,0.679469432755903
"1110002E22Rik",-0.288863943,0.0754967708973214
"1110002J07Rik",0.320472862250002,0.0917194010380031
"1110002N22Rik",-0.158688435250001,0.35960261424
"1110003E01Rik",0.197821272499997,0.0723512988491119
"1110004E09Rik",0.169232687500003,0.208964074143012
"1110004F10Rik",0.0468470100000022,0.697872367570967
"1110005A03Rik",0.685801354999997,0.000722024862242991
"1110006E14Rik",0.2378237,0.1151176898565
"1110007C09Rik",-0.112766972499998,0.342278909840043
"1110008F13Rik",-0.053897659999997,0.727477847958197
"1110008J03Rik",-0.0407251667500006,0.697605652078979
"1110008L16Rik",-0.0900593159999996,0.438993010985892
"1110008P14Rik",0.00178506999999861,0.98984385090233
"1110012J17Rik",0.164626627499995,0.183331968815705
"1110012L19Rik",0.194934322499996,0.174389545572968
"1110014N23Rik",-0.204879739999999,0.18209114633458
"1110017D15Rik",0.0241516575000027,0.873606992364887
"1110018G07Rik",0.365810689999996,0.00673528797958715
"1110018J18Rik",-0.002393961000001,0.986588246147428
"1110019D14Rik",-0.0888171595000014,0.589909269154543
"1110020A21Rik",-0.346907940000001,0.00614375329043646
"1110020G09Rik",0.314084502499998,0.0306647218322724
"1110021J02Rik",0.263354424999999,0.0237114609511096
"1110021L09Rik",-0.017155185,0.89010677347156
"1110028C15Rik",0.281458971,0.208804482085906
"1110029L17Rik",-0.0427869599999973,0.79477258592188
"1110031I02Rik",-0.201820962500001,0.111779591081555
"1110032A03Rik",0.202872594750001,0.16862217696783
"1110032F04Rik",-0.13089796325,0.456410834115848
"1110034A24Rik",-0.102125684500001,0.425655436976545
"1110034B05Rik",0.110493642500003,0.487560873112014
"1110034G24Rik",0.154861792499998,0.273541257268685
"1110035E04Rik",0.997493316999998,0.00000837208997907111
"1110035H17Rik",-0.191088116749999,0.213792775270317
"1110035M17Rik",-0.293775152499999,0.155228493045688
"1110037F02Rik",-0.20666349575,0.291510607786471
"1110038B12Rik",0.0920479375000003,0.41521171354347
"1110038D17Rik",-0.418273405000001,0.00332678736876358
"1110038F14Rik",0.118581787499998,0.372112311320005
"1110046J04Rik",0.332323123,0.0277932753952338
"1110049F12Rik",-0.0235171274999999,0.81421888053781
"1110051M20Rik",-0.275227215000001,0.0564463298672754
"1110054M08Rik",0.0627856027500009,0.635450608911
"1110054O05Rik",0.440185125749998,0.00953923046754377
"1110057K04Rik",0.0366950300000006,0.779629990908019
"1110058L19Rik",-0.177379402499998,0.197437468745824
"1110059E24Rik",-0.293942869999999,0.0285397938267483
"1110059G10Rik",0.0389904242499988,0.818461602477198
"1110059M19Rik",0.645814334750002,0.435108905099328
"1110065P20Rik",-0.1244262825,0.252939229810387
"1110067D22Rik",-0.116353215,0.501839157382824
"1190002H23Rik",-0.0407374250000032,0.777664173814492
"1190002N15Rik",-0.212900042250002,0.0846226561052284
"1190003J15Rik",0.50112260475,0.0396473229689794
"1190005F20Rik",-0.269124964,0.115479491984489
"1190005I06Rik",0.378280297499998,0.0103345401182557
"1190007F08Rik",-0.243427072000003,0.215266704826769
"1190007I07Rik",-0.182066234999997,0.458817639662417
"1200009I06Rik",0.58618348925,0.00225994066303679
"1200011I18Rik",-0.114311752500001,0.329126352597679
"1200014J11Rik",0.412837459999997,0.286914171614367
"1200016B10Rik",0.427010613,0.0319128014955512
"1300001I01Rik",-0.340593744999996,0.0204337284692389
"1300002E11Rik",-0.0899417927500021,0.51625578172432
"1300010F03Rik",-0.0660959749999979,0.582384638803926
"1300014I06Rik",-0.496877795000001,0.00717989509769959
"1300018I17Rik",0.0133371925000034,0.918467567337807
"1300018J18Rik",-0.399759692500005,0.00991807937622266
"1500001M20Rik",0.0834687300000017,0.573038342440514
"1500002O20Rik",0.152641169999999,0.286147427080232
"1500003O03Rik",0.0752352900000055,0.561089246345406
"1500004F05Rik",0.193881519249999,0.487058392348753
"1500009C09Rik",0.245924512499998,0.0467537603785733
"1500009L16Rik",-0.184036824750001,0.21245393598508
"1500010J02Rik",0.251298277499997,0.0866109471868828
"1500011B03Rik",0.2711668755,0.146343935910316
"1500011H22Rik",-0.333858402500001,0.0409637567354592
"1500011K16Rik",0.119695772499998,0.340441089926757
"1500012F01Rik",0.285469952499996,0.0289174315959862
"1500012K07Rik",0.0517198312499989,0.841870218330979
"1500015A07Rik",-0.169377236000003,0.295319232761616
"1500015O10Rik",1.08306132175,0.186505603540478
"1500016L03Rik",-0.80151109425,0.00519204860832649
"1500026H17Rik",-0.405007618000003,0.00822711614690774
"1500031L02Rik",-0.143761894999997,0.407431044994205
"1500032F14Rik",0.281631081250001,0.165357182716986
"1500032L24Rik",0.355507584999998,0.0118456476022213
"1500032P08Rik",0.356762142499997,0.0167469599300037
"1500035N22Rik",-0.2759450295,0.165180183223299
"1520401A03Rik",-0.48089629025,0.0119946606011285
"1520402A15Rik",0.0851271482500024,0.591035899843835
"1600002H07Rik",-0.308879151249998,0.0222531894783475
"1600002K03Rik",0.308127724999999,0.0222622273437766
"1600010M07Rik",0.0183181100000001,0.90155796053653
"1600012F09Rik",0.0461325810000002,0.775032874957786
"1600012H06Rik",-0.2234455795,0.0828867626838625
"1600014C10Rik",0.1727118825,0.283062019458993
"1600014C23Rik",0.157955101,0.436496963757707
"1600014K23Rik",-0.0186840267499999,0.915012275309128
"1600015I10Rik",0.0201971945000006,0.9086836377274
"1600020E01Rik",-0.134006876000003,0.316555680727533
"1600022D10Rik",1.27946425375,0.0352011996199446
"1600023N17Rik",-0.236028793,0.141908092288805
"1600025M17Rik",0.10617327825,0.66431234820915
"1600027N09Rik",0.359688300749999,0.0835347491879268
"1600029I14Rik",-0.476866334000001,0.0335628539967087
"1600029O15Rik",0.24694409,0.106006099995167
"1700001C02Rik",-0.180302719999997,0.342372682258356
"1700001D01Rik",-0.197605444249998,0.490095542967109
"1700001J03Rik",0.0430800455,0.840434348326424
"1700001K19Rik",0.671268445000001,0.000573210891694794
"1700001L05Rik",-0.956237216749999,0.00389351952603691
"1700001L19Rik",-0.675410232500004,0.00129325362167281
"1700001O22Rik",-0.16766629,0.510564710776604
"1700003E16Rik",0.204717078749999,0.187047554735481
"1700003F12Rik",0.244615202249999,0.13062402844753
"1700003I16Rik",0.0963293657500008,0.435759553869872
"1700003M07Rik",-0.7996151615,0.00542550479603661
"1700006J14Rik",1.0258016885,0.0000215134907936537
"1700007G11Rik",-0.341360215750001,0.0325725809969929
"1700007K09Rik",0.0553954202499973,0.720710478560311
"1700007K13Rik",0.20769334975,0.224886693222898
"1700008J07Rik",-0.188171462,0.251880135914103
"1700008O03Rik",0.527868839,0.0322861211008712
"1700009P17Rik",0.375559665000001,0.208540892061811
"1700010I14Rik",-0.250844312499999,0.08126155748454
"1700010M22Rik",0.273710969750001,0.148009978173728
"1700011J10Rik",0.3901910925,0.0104384831349846
"1700012A16Rik",0.21878904625,0.0882034046682239
"1700012B09Rik",0.138485927750002,0.651647932032071
"1700012B15Rik",0.0693394695000045,0.72822385745243
"1700012D14Rik",-0.0357346162500018,0.853521979759561
"1700013F07Rik",0.03308687,0.858776371643758
"1700013G23Rik",0.173424343249998,0.122186984010923
"1700014N06Rik",0.417417675499999,0.00672184313698712
"1700016H13Rik",0.13969641525,0.443982486337789
"1700016J18Rik",-0.2499311755,0.12041676531191
"1700016K05Rik",0.121869294500001,0.633362260489727
"1700016K19Rik",-0.134945521500001,0.272462428848865
"1700017B05Rik",0.0600199354999997,0.740328461934788
"1700019D03Rik",-0.474387021,0.0142084616750077
"1700019E19Rik",-0.121524020000003,0.232828234130788
"1700019G17Rik",-1.14950799025,0.208053833719539
"1700019N12Rik",0.177012742499999,0.232041547639938
"1700019N19Rik",0.3234827725,0.0913867478883227
"1700019O17Rik",0.418118865,0.122617014270653
"1700020C07Rik",0.254101335499998,0.14781045542175
"1700020D05Rik",0.099160587750001,0.435170831950913
"1700020I14Rik",-0.309661744,0.290255013406954
"1700020L24Rik",0.0812910392500026,0.471610819876141
