"gene_name","logFC","P.Value"
"0610007C21Rik",2.175187104,0.00232767273277913
"0610007L01Rik",0.0300246130000001,0.821927727369498
"0610007N19Rik",-0.340158703749998,0.166357324234304
"0610007P08Rik",0.404198562583336,0.0589758961527229
"0610007P14Rik",-0.177280519999996,0.22040643694723
"0610007P22Rik",-0.152809629166667,0.226169176915544
"0610009B22Rik",0.0769803850000024,0.541707939967726
"0610009D07Rik",-0.780667624166657,0.00291888147677713
"0610009E02Rik",0.655900838083332,0.00889970211517821
"0610009L18Rik",0.0882357433333354,0.51697594155215
"0610009O20Rik",-0.170235920833331,0.215918267745947
"0610010F05Rik",1.8806008315,0.00236814356686412
"0610010K14Rik",0.343524486666674,0.0207053572026797
"0610010O12Rik",0.799698335833336,0.000827726216282123
"0610011F06Rik",-0.37979962,0.0114945046670674
"0610011L14Rik",-0.229391329999997,0.132856789734924
"0610012G03Rik",-0.147496870916664,0.409689623993142
"0610030E20Rik",0.338093221416669,0.393714192131812
"0610031J06Rik",-0.775876049166667,0.00174897700039528
"0610037L13Rik",0.238399641166668,0.420242684643037
"0610037P05Rik",0.17033506833334,0.374316547503898
"0610039H22Rik",-0.217641105916668,0.570080799363616
"0610040B10Rik",0.471028305333334,0.104372208157652
"0610040J01Rik",-0.0581667596666655,0.676618410094692
"0610042G04Rik",1.08912648933334,0.00345969528034635
"0910001L09Rik",-0.743426618333331,0.000519663730757983
"100043387",0.502236960499999,0.0715200727413513
"1010001B22Rik",0.759599456000004,0.00219711754254689
"1110001A16Rik",-0.0828178725000015,0.64414119141511
"1110001J03Rik",-0.116389707499996,0.385237370647948
"1110002B05Rik",0.0298159175000059,0.832099229846559
"1110002E22Rik",-0.317391817250001,0.484704408799068
"1110002J07Rik",1.17571150841667,0.000132018945395191
"1110002N22Rik",0.126724676083334,0.494579369500573
"1110003E01Rik",-0.0120887075000002,0.956021480551352
"1110004E09Rik",-0.363277291666666,0.048943627413252
"1110004F10Rik",-0.608314257499996,0.00148898402577458
"1110005A03Rik",0.403684912499999,0.0443559717586639
"1110006E14Rik",-0.37100186833333,0.108053260292038
"1110007C09Rik",-0.600512875833333,0.000903446068351232
"1110008F13Rik",0.0489437508333328,0.795374990751799
"1110008J03Rik",0.179754759666668,0.235194719301236
"1110008L16Rik",1.55399689883334,0.000144477734548871
"1110008P14Rik",-0.70485637,0.0171229411274532
"1110012J17Rik",-0.141982361666665,0.447854714127454
"1110012L19Rik",0.288980575833335,0.103959303049985
"1110014N23Rik",-0.147658187500001,0.347619920183652
"1110017D15Rik",-0.58245002333333,0.0325275901497062
"1110018G07Rik",0.0634486525,0.696668595831888
"1110018J18Rik",0.77729073616667,0.00633959732015693
"1110019D14Rik",0.0184107391666695,0.931621244787735
"1110020A21Rik",-0.4354361005,0.0455052772623828
"1110020G09Rik",0.650883749999998,0.000498098280347948
"1110021J02Rik",-0.269970407833331,0.230259029873711
"1110021L09Rik",0.106602593333331,0.393549334401584
"1110028C15Rik",0.629588676083334,0.00595349536600276
"1110029L17Rik",0.0768546800000038,0.550231663542287
"1110031I02Rik",-0.390158646666665,0.0856583690075368
"1110032A03Rik",0.0678797869166683,0.696813069168923
"1110032F04Rik",-0.137658680499998,0.576074625379925
"1110034A24Rik",-0.0804078692499992,0.585218844244799
"1110034B05Rik",0.285238631666669,0.155601495632205
"1110034G24Rik",-0.187478017499998,0.335235096763462
"1110035E04Rik",-1.1727363765,0.000266946519131361
"1110035H17Rik",0.166404813333335,0.520528826210365
"1110035M17Rik",0.0301254041666699,0.909472174120163
"1110037F02Rik",0.819984228750003,0.0494755543274704
"1110038B12Rik",0.261200771666667,0.113098274831986
"1110038D17Rik",0.177059038333338,0.233131082474357
"1110038F14Rik",-0.217644164166664,0.306419796434763
"1110046J04Rik",-0.22900922475,0.118736148969598
"1110049F12Rik",-0.114068524999999,0.363385534269043
"1110051M20Rik",0.14282231,0.362024419919657
"1110054M08Rik",-0.769269636166662,0.00124916320525683
"1110054O05Rik",-0.330319953749999,0.0732764798568322
"1110057K04Rik",0.728329802083335,0.0417723184537339
"1110058L19Rik",0.273607573333333,0.0573255278724773
"1110059E24Rik",-0.0561796608333331,0.741135574639783
"1110059G10Rik",0.547710107666667,0.00228923592250304
"1110059M19Rik",-0.782087999833333,0.544495139521086
"1110065P20Rik",-0.0925702666666623,0.461033552335953
"1110067D22Rik",-0.0760386974999996,0.691233206008199
"1190002H23Rik",-0.129511846666663,0.392020488007332
"1190002N15Rik",1.35327046875,0.00757743938361074
"1190003J15Rik",-0.067956815499997,0.767896969119332
"1190005F20Rik",0.14343570116667,0.383462170857668
"1190005I06Rik",-0.85006580333333,0.00041494421723351
"1190007F08Rik",-1.14973157341666,0.0000860581480558587
"1190007I07Rik",-0.700070546666668,0.0102202668303285
"1200009I06Rik",-0.195374940583329,0.511739220310689
"1200011I18Rik",0.0382251016666668,0.815577524077441
"1200014J11Rik",1.0362108535,0.0010263355778057
"1200016B10Rik",-0.158249616416661,0.371284860264267
"1300001I01Rik",0.729236527333331,0.00185029267294814
"1300002E11Rik",-0.610851892166664,0.0326708262001084
"1300010F03Rik",0.695617341750001,0.00347188328310048
"1300014I06Rik",1.3834228235,0.000044392863159227
"1300018I17Rik",0.230521978333337,0.234273349898388
"1300018J18Rik",-0.34283200583333,0.030667376680749
"1500001M20Rik",-0.349935838333328,0.100498344989244
"1500002O20Rik",-1.00695083833333,0.0000308916222443027
"1500003O03Rik",-0.064103574166662,0.683568923913155
"1500004F05Rik",1.301934212,0.00164558610681717
"1500009C09Rik",0.0349746016666739,0.811871993012063
"1500009L16Rik",0.26272892733334,0.103373052138874
"1500010J02Rik",0.0174988191666685,0.918236472967065
"1500011B03Rik",0.144400720833335,0.266679422164801
"1500011H22Rik",0.393451323333338,0.0192627625212887
"1500011K16Rik",0.0350685641666697,0.785019832842144
"1500012F01Rik",-0.579830294999997,0.00275491653171229
"1500012K07Rik",1.25642410375,0.00690097729322826
"1500015A07Rik",-0.366291224583332,0.0454147001600354
"1500015O10Rik",-1.16800235675,0.277339222800459
"1500016L03Rik",2.68114075491667,0.0000722852609826746
"1500026H17Rik",0.298696307916666,0.0553960214747759
"1500031L02Rik",0.390526087500001,0.16645460703252
"1500032F14Rik",0.566640354666668,0.0171114413348446
"1500032L24Rik",-0.0538045158333329,0.659799140306493
"1500032P08Rik",-0.124997149166665,0.489010086086114
"1500035N22Rik",0.159252616000003,0.573272477232652
"1520401A03Rik",0.429331227750001,0.0459615592445801
"1520402A15Rik",-0.156567637083331,0.339752184753899
"1600002H07Rik",0.171658826333333,0.220569542409155
"1600002K03Rik",-0.436593576666665,0.0209247111632082
"1600010M07Rik",0.044081590416666,0.838749495159239
"1600012F09Rik",0.532630690000003,0.00230919162647462
"1600012H06Rik",0.314775998500002,0.0968072393122034
"1600014C10Rik",-0.164185813499999,0.385503581327285
"1600014C23Rik",1.31841270875,0.0000317279492931597
"1600014K23Rik",0.241500406250003,0.420315229603586
"1600015I10Rik",0.385814766833334,0.218347369095516
