"gene_name","logFC","P.Value"
"0610007C21Rik",-0.0404705067499957,0.962734095036473
"0610007L01Rik",-0.00494046749999733,0.973422979879229
"0610007N19Rik",-0.20345607925,0.186181905981709
"0610007P08Rik",0.447933182083332,0.00769279127259637
"0610007P14Rik",0.108343352500002,0.363377357887308
"0610007P22Rik",-0.101993681666666,0.420327144976718
"0610009B22Rik",-0.0723482024999971,0.580346733164692
"0610009D07Rik",-0.243115839166665,0.150422233046139
"0610009E02Rik",0.0388271925833337,0.794137027864466
"0610009L18Rik",-0.0514349291666658,0.678268942533823
"0610009O20Rik",-0.163167703333333,0.158025118071239
"0610010F05Rik",0.496403918,0.0518246787640608
"0610010K14Rik",0.350398046666673,0.0126010444136109
"0610010O12Rik",0.514161805833332,0.0106000810513262
"0610011F06Rik",0.0800186275000048,0.528786785218274
"0610011L14Rik",-0.0787471699999944,0.4721746680178
"0610012G03Rik",-0.289241306916663,0.0470581840946313
"0610030E20Rik",-0.303063102083332,0.060220089815129
"0610031J06Rik",-0.451050044166664,0.0592846510917665
"0610037L13Rik",-0.376529429083332,0.0594739209359279
"0610037P05Rik",0.304333385833342,0.0594109145484163
"0610039H22Rik",-0.734273802916668,0.0354151051266711
"0610040B10Rik",-0.258003590416665,0.307714430996442
"0610040J01Rik",-0.401412537166665,0.00580728935037504
"0610042G04Rik",2.08509202733333,0.000989426083595789
"0910001L09Rik",-0.210780615833325,0.148244160826022
"100043387",-0.235587268749999,0.280658082225824
"1010001B22Rik",0.308349110750001,0.113530617564834
"1110001A16Rik",-0.180039384999999,0.23013457256769
"1110001J03Rik",0.321414507500005,0.0277429861913741
"1110002B05Rik",0.123886010000001,0.39926258615082
"1110002E22Rik",-0.836427010499999,0.0223562050650983
"1110002J07Rik",0.974026386916666,0.004365508998993
"1110002N22Rik",-0.293216626666664,0.0573580963325218
"1110003E01Rik",0.0840244774999999,0.430187755850385
"1110004E09Rik",-0.178072851666661,0.110080418219711
"1110004F10Rik",-0.285247217500002,0.0466847147711779
"1110005A03Rik",0.33921889,0.02349731822643
"1110006E14Rik",-0.113290362500001,0.432874828983388
"1110007C09Rik",-0.690817465833332,0.0015612597931181
"1110008F13Rik",0.077230113333334,0.51741594391904
