"ID","adj.P.Val","P.Value","t","logFC","GENE","GENE_SYMBOL"
"A_52_P108502",0.0000177835480080025,0.000000000614730824017508,26.152075808842,5.58882284375,218756,"Slc4a7"
"A_55_P2018836",0.00014325728957696,0.00000000990406094762766,19.2239778395425,4.302530408,NA,""
"A_30_P01024724",0.000440971216413002,0.00000004572967089215,-16.2013150527675,-5.21369015,NA,""
"A_55_P2125823",0.000591317417004359,0.000000119092465596005,-14.543902056449,-2.2009203375,NA,""
"A_51_P225179",0.000591317417004359,0.000000133890237660502,14.3522849252633,2.70616459225,76479,"Smndc1"
"A_30_P01028612",0.000591317417004359,0.000000156681210781495,-14.098764429725,-2.03327185825,NA,""
"A_30_P01026573",0.000591317417004359,0.000000210646952451734,13.6325602056513,4.243571127,NA,""
"A_66_P114463",0.000591317417004359,0.000000220852213642353,-13.5593613999109,-1.8020574025,NA,""
"A_55_P2164805",0.000591317417004359,0.000000226819193378141,-13.5182720799337,-1.8371397,NA,""
"A_30_P01024857",0.000591317417004359,0.000000238853582898164,13.4389161233461,4.167661489,NA,""
"A_55_P2069392",0.000591317417004359,0.000000249936666329144,-13.369643426323,-1.9412614975,NA,""
"A_52_P232470",0.000591317417004359,0.000000260725637638164,-13.3053917573347,-2.02582389875,237781,"Smcr7"
"A_55_P2030627",0.000591317417004359,0.000000265723890250498,-13.2766133349224,-2.65714097425,381310,"6330403A02Rik"
"A_55_P2008898",0.000598738609986322,0.000000289755627218656,-13.1461154271664,-1.7386805425,NA,""
"A_30_P01026012",0.00108298074548868,0.00000056626929330174,12.1747785962091,2.8751239665,NA,""
"A_55_P1963649",0.00108298074548868,0.000000604044295441815,-12.0846577308321,-2.18916491925,NA,""
"A_30_P01019034",0.00108298074548868,0.000000636408886353055,12.0122550120377,3.9894216685,NA,""
"A_55_P2132888",0.00112327778264746,0.000000698918043750366,11.8832550964669,3.88213154425,53378,"Sdcbp"
"A_55_P2029436",0.00122602846579858,0.000000839014229515311,11.6352480932319,4.15046617575,NA,""
"A_52_P225260",0.00122602846579858,0.000000884693290983278,-11.564146216814,-2.5622173565,22631,"Ywhaz"
"A_55_P2155644",0.00122602846579858,0.000000947134349265937,-11.4732406263158,-1.4829993345,630836,"2010315B03Rik"
"A_30_P01021541",0.00122602846579858,0.000000970352959437472,11.4411105497793,3.03379149775,NA,""
"A_30_P01032874",0.00122602846579858,0.00000102187237460465,-11.3727455550118,-2.62726014375,NA,""
"A_52_P37431",0.00122602846579858,0.00000108483081352684,-11.2941830087797,-1.5913682725,NA,""
"A_55_P2153904",0.00122602846579858,0.0000010860623271132,-11.292696772951,-1.30905578,620143,"Gm6132"
"A_55_P2145401",0.00122602846579858,0.00000110189567944841,-11.2737522701767,-1.4403480855,319148,"Hist1h3c"
"A_51_P500550",0.00135294012597867,0.00000126272541053697,-11.0967861464696,-1.520171181,66868,"Mfsd1"
"A_55_P2078266",0.00147939126233225,0.0000014318834161327,-10.9356469002353,-1.5613650175,15078,"H3f3a"
"A_65_P09031",0.00148408923052828,0.00000148773160791317,-10.8870113091811,-1.5000686495,72729,"Cdc42se2"
"A_51_P161207",0.00163201226424912,0.00000174534850263691,-10.6860333863678,-2.183403002,19726,"Rfx3"
"A_30_P01027864",0.00163201226424912,0.00000177054538158173,-10.6681536911139,-1.48312043325,NA,""
"A_51_P404084",0.00163201226424912,0.00000180526089584749,-10.6439732322291,-2.61659171875,26445,"Psmb2"
"A_30_P01022987",0.00187491774503476,0.00000219166155252196,-10.405024857728,-4.111704553,NA,""
"A_51_P502225",0.00187491774503476,0.00000220357438318579,-10.3984133845957,-2.071407311,30805,"Slc22a4"
"A_55_P1987847",0.00189913452679069,0.00000229768427659698,10.3475275077932,3.34624377475,NA,""
"A_55_P2100241",0.00191987047308746,0.00000245120864089901,-10.2692486600278,-4.048905,19791,"Rn18s"
"A_55_P2380428",0.00191987047308746,0.00000245550165938111,-10.2671379400323,-1.5588988305,71334,"5430416G10Rik"
"A_55_P2177741",0.00194413504519672,0.00000261133763069992,10.1931523628007,3.7901288325,635756,"Gm7166"
"A_55_P2084344",0.00194413504519672,0.0000026456157486945,-10.1775301286013,-1.5313490025,NA,""
"A_52_P303021",0.00194413504519672,0.00000268814690476231,10.1584533226799,1.36868372175,NA,""
"A_55_P2108761",0.00196932184327907,0.00000284529713197335,10.0907396509053,3.09064477425,231452,"Sdad1"
"A_55_P2139881",0.00196932184327907,0.00000289544124601408,-10.0699959029978,-1.06965202825,NA,""
"A_55_P2009915",0.00196932184327907,0.00000299302335983515,-10.0307375555031,-1.3653124055,20912,"Stxbp3a"
"A_55_P2118183",0.00196932184327907,0.00000300894101294244,-10.0244674442993,-1.123124215,74493,"Tnks2"
"A_55_P1986551",0.00196932184327907,0.00000309664387893183,-9.99056226120389,-1.8581391065,84004,"Mcam"
"A_55_P2021393",0.00196932184327907,0.00000313141846558253,9.97741010243657,2.91878548725,100009609,"Vmn2r65"
"A_30_P01027907",0.00199523755801504,0.0000033358987796779,9.90318651508128,2.84242302375,NA,""
"A_55_P2072915",0.00199523755801504,0.00000346015595641583,9.86048742850527,3.554061655,NA,""
"A_30_P01030260",0.00199523755801504,0.00000348062786084976,-9.85361458502337,-1.72639124625,NA,""
"A_55_P2179246",0.00199523755801504,0.00000362744275713318,9.80559217825889,3.01142159025,NA,""
"A_51_P334979",0.00199523755801504,0.00000363302059995796,9.8038100529946,2.9862922145,11813,"Apoc2"
"A_55_P2180854",0.00199523755801504,0.00000364087826224208,9.80130462165577,2.6384678395,381974,"Mrgprg"
"A_55_P2084345",0.00199523755801504,0.00000365541811244071,-9.79668420291984,-1.7252279875,100039203,"Gm2099"
"A_30_P01017564",0.00201605301266804,0.00000381060135524964,9.74859399258431,2.7751430115,NA,""
"A_55_P2031367",0.00201605301266804,0.00000383293289421487,-9.74185121532547,-1.7190537105,223770,"Brd1"
"A_55_P2073739",0.00213763084942153,0.00000413796977315516,9.65384946295628,1.980744276,194292,"Gm5"
"A_55_P2055632",0.00219147938888728,0.00000436627304078606,-9.59252919525232,-1.53613403825,66404,"2410001C21Rik"
"A_55_P2087885",0.00219147938888728,0.00000440108360902539,-9.58348981041738,-1.96258135375,223658,"Heatr7a"
"A_55_P2039622",0.00219147938888728,0.00000449965718264709,9.55831314349894,4.22250949,26888,"Clec4a2"
"A_55_P2086507",0.00219147938888728,0.00000461444331304049,9.52974871468127,2.74406760675,12095,"Bglap-rs1"
"A_55_P2078269",0.00219147938888728,0.00000463177277908297,-9.52550422234263,-1.5981078825,NA,""
"A_55_P2041457",0.00219147938888728,0.00000469673068930871,9.50974804115021,1.87755874,NA,""
"A_55_P2111713",0.00225124925860988,0.00000490264797581742,-9.4613399083462,-2.001258809,20733,"Spint2"
"A_55_P2040977",0.00225298673380419,0.00000498431162375014,-9.44275756596481,-2.0834896875,27386,"Npas3"
"A_55_P1985040",0.00233955293830452,0.00000525669539181422,-9.38311328146281,-1.306523722,77110,"Gpbp1l1"
"A_55_P2004833",0.00241065733931704,0.00000549978859949963,-9.33268282546499,-1.29957076,NA,""
"A_55_P2115364",0.00247698958507635,0.00000576736231376511,9.27993058759919,3.39039191775,NA,""
"A_55_P2013745",0.00247698958507635,0.00000582236827353837,-9.26941947074136,-1.0594164895,211484,"Tsga10"
"A_55_P2108275",0.002554074535484,0.00000609185049425822,9.21945316663557,2.82432879525,NA,""
"A_51_P142164",0.0025756268815133,0.00000623228876580354,-9.19436716209307,-1.3645887565,110920,"Hspa13"
"A_51_P487105",0.00268920633687723,0.0000066000777738008,-9.13150577074594,-1.06147750825,231889,"Bud31"
"A_55_P1967002",0.00272641829525463,0.00000681027908389152,9.09728332908109,2.498435335,NA,""
"A_55_P1954246",0.00272641829525463,0.00000687989683547956,9.08620409587674,1.38249536575,60367,"Il1rapl2"
"A_55_P2051405",0.00282355363714695,0.00000727460427550311,-9.02563041570354,-2.414273731,214133,"Tet2"
"A_55_P2101739",0.00282355363714695,0.00000732021579681362,-9.01886418646762,-1.5425105925,NA,""
"A_55_P2100585",0.00282487225118604,0.0000074496989136087,8.99990542966563,3.2334553435,320664,"Cass4"
"A_55_P2230506",0.00282487225118604,0.00000755713730751653,-8.9844470499656,-2.92021252,70963,"4931402H11Rik"
"A_55_P1994284",0.00282487225118604,0.00000769718428426919,8.96465528280062,2.113707692,329954,"Catsper4"
"A_51_P239203",0.00282487225118604,0.00000771422820850001,8.96227361268716,1.56381025525,26415,"Mapk13"
"A_51_P192089",0.00285707262734157,0.0000079955192395547,8.92378077370731,2.23057228,72400,"Pinx1"
"A_51_P510764",0.00285707262734157,0.00000799968484270686,8.92322196487906,1.63330019775,319660,"Agmo"
"A_52_P207057",0.00287007294802829,0.00000817503002332364,-8.89998506087979,-1.55512584025,269615,"Plch2"
"A_51_P271417",0.00287007294802829,0.00000832326727517597,-8.8807633176179,-1.5432892415,98970,"Fibcd1"
"A_55_P2017769",0.00287007294802829,0.00000838663738054048,8.87266054849022,2.57637421,333467,"B020031M17Rik"
"A_51_P273508",0.00287007294802829,0.0000085175664281766,-8.85613020785569,-1.80275551475,67128,"Ube2g1"
"A_55_P1968085",0.00287007294802829,0.00000853213984342469,8.85430752200452,2.3750118475,NA,""
"A_55_P1994173",0.00295494221700794,0.00000888658345880226,8.81100032869689,2.630401437,NA,""
"A_55_P2004205",0.00306066640128775,0.00000952612067157661,8.7374539800093,3.229650577,NA,""
"A_52_P426863",0.00306066640128775,0.0000095654688315272,-8.73310723412331,-1.26418674325,101831,"C230052I12Rik"
"A_55_P1954400",0.00306066640128775,0.00000961985305569966,-8.72713166182371,-1.383965503,NA,""
"A_30_P01028269",0.00306066640128775,0.00000962773142926423,-8.72626908491199,-1.44194844025,NA,""
"A_55_P2023952",0.00310983610050008,0.00000988990014331666,-8.69799861877525,-1.428286478,56378,"Arpc3"
"A_55_P2129407",0.00314065314203645,0.0000101027124032903,8.67564847442174,2.312669345,NA,""
"A_55_P2108644",0.00314065314203645,0.0000102050328511676,8.66508566074939,1.4063163675,100505291,"LOC100505291"
"A_55_P1988543",0.00316617147500229,0.0000104684314957199,-8.63842017502638,-1.81846991375,18004,"Nek1"
"A_30_P01018927",0.00316617147500229,0.0000105068430156666,8.63459311043458,2.66880237975,NA,""
"A_55_P2129219",0.00325364176550746,0.0000109095803952513,-8.59536759231969,-1.5203178025,638008,"Gm7227"
"A_55_P2086628",0.00336010883632328,0.0000113827185854914,8.55126580487065,3.67452196425,NA,""
"A_55_P1953419",0.00336954259830082,0.0000115311527267372,-8.53784328316408,-1.43831211875,68328,"Rab13"
"A_55_P2021721",0.00345126628578735,0.0000119301264675148,8.50268393365281,1.179795409,NA,""
"A_52_P176160",0.00347702254957935,0.0000123526949591579,-8.46682446569842,-1.2423733555,269378,"Ahcy"
"A_51_P513959",0.00347702254957935,0.0000125554815819424,-8.45009055101462,-3.4291474245,225215,"Rsl24d1"
"A_52_P298165",0.00347702254957935,0.0000125648638262087,-8.44932351671382,-2.18446087775,NA,""
"A_52_P517730",0.00347702254957935,0.0000129488641437411,-8.41845768353878,-0.879043857750001,12912,"Creb1"
"A_30_P01031779",0.00347702254957935,0.0000132002713627741,-8.39878840764236,-1.891966159,NA,""
"A_52_P438578",0.00347702254957935,0.0000133500556008344,-8.38726404402269,-1.28617765475,51886,"Fubp1"
"A_55_P2075894",0.00347702254957935,0.0000134912655885409,8.37652846230714,1.82656161875,383032,"Gm5215"
"A_51_P195483",0.00347702254957935,0.0000136274188009547,-8.36629334009322,-2.57072275,109161,"Ube2q2"
"A_30_P01022127",0.00347702254957935,0.0000137001473987295,-8.36087190538219,-1.6810596735,NA,""
"A_55_P2183518",0.00347702254957935,0.00001377259345524,8.355502808226,3.04232598925,NA,""
"A_55_P1979377",0.00347702254957935,0.0000138455356427701,8.35012813004828,2.28686851075,20503,"Slc16a7"
"A_51_P432779",0.00347702254957935,0.0000139213718178399,-8.34457302279013,-1.45791207,234740,"Tmem231"
"A_55_P2048398",0.00347702254957935,0.0000139978306533735,-8.33900578568372,-1.14784901675,225888,"Suv420h1"
"A_55_P2055482",0.00347702254957935,0.0000140440482929226,-8.33565665748117,-1.888938421,432731,"Zfp187"
"A_51_P373696",0.00347702254957935,0.0000141445509299303,-8.32841531965562,-2.55198534825,270118,"Maml2"
"A_55_P2153620",0.00347702254957935,0.0000141456600787623,8.32833571909627,2.8906816075,66395,"Ahnak"
"A_55_P2052380",0.00347702254957935,0.0000145519972685637,8.29962533142596,2.10416272175,100702,"Gbp6"
"A_52_P539414",0.00347702254957935,0.0000146256226137555,-8.29451731811691,-2.679452543,209357,"Gtf2h3"
"A_55_P2023667",0.00347702254957935,0.0000146397713246494,-8.29353893100395,-1.3866754375,77622,"Apex2"
"A_52_P352187",0.00347702254957935,0.0000146458922346322,-8.2931159895642,-1.5095370725,216739,"Acsl6"
"A_30_P01020420",0.00347702254957935,0.000014708995239224,8.28876697134449,3.11029307175,NA,""
"A_55_P2004551",0.00347702254957935,0.0000148420748359765,8.27966187149182,2.7128367165,16627,"Klra1"
"A_55_P1992247",0.00347702254957935,0.00001493674116686,8.27323924313357,2.070491842,632971,"Rergl"
"A_30_P01022304",0.00347702254957935,0.0000149541388719849,-8.27206375096511,-4.09477345225,NA,""
"A_55_P2018542",0.00347702254957935,0.0000150239489335068,-8.26736199601073,-2.2018540735,56351,"Ptges3"
"A_51_P280446",0.00348755679418164,0.0000152535712499152,-8.2520640120959,-2.65210028725,64136,"Sdf2l1"
"A_55_P2148935",0.00348755679418164,0.0000156166318292344,8.22838377655482,1.841017405,NA,""
"A_51_P179131",0.00348755679418164,0.0000156860500266449,-8.22392478322142,-1.50237584575,22323,"Vasp"
"A_51_P358256",0.00348755679418164,0.0000157057496200911,8.22266334200258,2.59698858725,12355,"Nr1i3"
"A_30_P01018861",0.00348755679418164,0.0000157066108781659,-8.22260823187855,-2.765471403,NA,""
"A_55_P1982921",0.00348755679418164,0.0000157928009968473,-8.21710978829756,-1.79392140325,207777,"Bzrap1"
"A_55_P2222557",0.00355421597376388,0.0000163176499610503,8.18432165526294,3.67092297475,73252,"1600022D10Rik"
"A_30_P01032372",0.00355421597376388,0.0000163923452261072,8.17974941891463,2.9142112995,NA,""
"A_55_P2053823",0.00355421597376388,0.0000165265707561277,8.17159030486837,4.17024359725,67320,"Iqcf4"
"A_55_P1974780",0.00355421597376388,0.0000168108440187745,8.15454746268562,2.2915384375,NA,""
"A_30_P01025802",0.00355421597376388,0.0000169214407457242,8.14800207830663,2.4451934175,NA,""
"A_66_P138308",0.00355421597376388,0.0000170438930830912,-8.14080950357614,-1.243422356,66054,"Cndp2"
"A_55_P1958833",0.00355421597376388,0.0000171068123748893,-8.13713575159126,-1.0761836865,668272,"Gm9079"
"A_52_P63905",0.00355421597376388,0.0000171553533846585,-8.13431162455928,-1.052171251,13195,"Ddc"
"A_55_P2015860",0.00355421597376388,0.0000172003953239636,-8.13169889376091,-1.91565432525,18803,"Plcg1"
"A_55_P1962026",0.00362393578245453,0.0000176630697682633,-8.10528682458933,-1.34033421,433931,"Pigg"
"A_30_P01018039",0.0036651434598441,0.0000179906105049556,-8.08704308043093,-3.55838501675,NA,""
"A_55_P2174743",0.00368683548152692,0.0000182245315724135,8.07423518701661,2.3293807625,432442,"Akap7"
"A_66_P114784",0.00370236616413777,0.0000185661265991315,-8.05585173510629,-1.30183307,27226,"Pla2g7"
"A_30_P01031427",0.00370236616413777,0.0000186782728148243,-8.04989708070091,-1.56771390125,NA,""
"A_51_P300207",0.00370236616413777,0.0000186852452543854,-8.04952815723656,-3.17741861525,225215,"Rsl24d1"
"A_52_P426870",0.00386398131727184,0.0000197293736733881,-7.99591983547931,-1.26154741125,226151,"Fam178a"
"A_51_P364786",0.00386398131727184,0.000019768026373405,-7.9939953488056,-1.12809769475,108121,"U2af1"
"A_52_P455251",0.00388856086918064,0.0000200281921085387,-7.98114817498137,-1.2415278345,13797,"Emx2"
"A_55_P1974807",0.00390221854158563,0.0000202334260167252,7.97114185281298,2.792702913,68163,"A930006D01Rik"
"A_55_P1961750",0.00391321965529157,0.0000204999699476066,-7.95831095974747,-2.414449824,328092,"6530401N04Rik"
"A_55_P2063505",0.00391321965529157,0.0000206626633955442,7.95056868221987,2.106102855,NA,""
"A_55_P2084158",0.00391321965529157,0.0000208769433465962,-7.94047273848857,-1.94746414875,NA,""
"A_52_P211197",0.00391321965529157,0.0000211821970156332,-7.92628476691002,-1.43325555625,68235,"2410066E13Rik"
