"ID","adj.P.Val","P.Value","t","logFC","GENE","GENE_SYMBOL"
"A_52_P203948",0.00114055491081486,0.0000000394260054206803,-15.7206393386372,-2.1440549175,329502,"Pla2g4e"
"A_55_P1980471",0.00501176538952005,0.000000533558111234131,-11.8047830589244,-1.8816834555,242443,"Grin3a"
"A_52_P566396",0.00501176538952005,0.000000680310108575812,-11.4886988378568,-2.22122494075,68867,"Rnf122"
"A_55_P2135551",0.00501176538952005,0.000000722786640404987,11.4110799527412,1.57246781625,66705,"Dnase1l2"
"A_55_P2177885",0.00501176538952005,0.00000119851029955787,10.7806118149853,1.161124985,629378,"Dact3"
"A_55_P2145511",0.00501176538952005,0.00000139906396948977,-10.5938487662087,-1.90399723025,NA,""
"A_55_P2204491",0.00501176538952005,0.00000156312959324676,10.4617151949687,1.36402744075,NA,""
"A_66_P104832",0.00501176538952005,0.00000159788772051895,-10.4356767944998,-1.0253549955,435366,"Gm5665"
"A_52_P449694",0.00501176538952005,0.00000173533956263413,-10.3384681315046,-1.1094846825,668643,"LOC668643"
"A_55_P2142222",0.00501176538952005,0.00000203046198789306,10.1555789200322,1.57159033375,546546,"Serpina3h"
"A_51_P464308",0.00501176538952005,0.0000022315756891576,-10.0469279657022,-0.961502152500001,14696,"Gnb4"
"A_51_P502614",0.00501176538952005,0.00000228532953033965,10.0197006732411,1.0319940175,67603,"Dusp6"
"A_30_P01033484",0.00501176538952005,0.00000250593821029327,-9.9148725605776,-1.686094858,NA,""
"A_55_P2040539",0.00501176538952005,0.00000258690929956214,-9.87891248365414,-2.092517113,224671,"Btbd9"
"A_52_P231170",0.00501176538952005,0.00000277212503261946,-9.80109461577815,-1.46116154425,230316,"Megf9"
"A_30_P01021296",0.00501176538952005,0.00000277565678361347,-9.79966664006984,-1.24579710375,NA,""
"A_55_P1989215",0.00501176538952005,0.00000294514195519516,9.73338469213997,2.01435016175,72090,"Entpd8"
"A_66_P133642",0.00535146246142193,0.00000332974953526201,9.59731042526171,1.21003365925,NA,""
"A_55_P2081373",0.00537689597057986,0.00000353143985070404,9.53267516897528,1.6190285475,230587,"Glis1"
"A_30_P01030260",0.00610514879812992,0.00000425494853582571,-9.3302037054283,-1.94258774175,NA,""
"A_30_P01028802",0.00610514879812992,0.0000046222119587133,-9.24140521766668,-1.0797862995,NA,""
"A_52_P421713",0.00610514879812992,0.00000497150926371919,-9.16384166129719,-1.06665691275,268759,"9930012K11Rik"
"A_51_P340699",0.00610514879812992,0.00000524643169399489,9.10687615025063,0.911465119000002,68895,"Rasl11a"
"A_55_P2174743",0.00610514879812992,0.00000535888400434082,9.08451032941053,2.239128735,432442,"Akap7"
"A_30_P01029685",0.00610514879812992,0.0000055721982139096,-9.04346123775056,-1.024878731,NA,""
"A_55_P2008121",0.00610514879812992,0.00000567747670288755,-9.02383109181021,-1.276604425,319251,"9630001P10Rik"
"A_30_P01030480",0.00610514879812992,0.00000569805446263292,-9.0200407207687,-1.145157745,NA,""
"A_30_P01018472",0.00614397090652617,0.00000594666892677704,8.97539575051777,1.45048321575,NA,""
"A_30_P01025096",0.00680346293652216,0.00000696743100821689,-8.81134376963351,-1.12955037275,NA,""
"A_51_P356265",0.00680346293652216,0.00000752552340772278,8.73242352554692,0.8210404075,54137,"Acrbp"
"A_55_P2024429",0.00680346293652216,0.00000776989256197758,-8.69985971485466,-2.238031192,14387,"Gaa"
"A_55_P2375905",0.00680346293652216,0.00000837208997907111,8.62416952584966,0.997493316999998,68672,"1110035E04Rik"
"A_51_P339344",0.00680346293652216,0.00000848506027091567,8.61063442731022,0.9728503615,74626,"Tmem81"
"A_55_P2000903",0.00680346293652216,0.00000889113519221873,-8.56355934425526,-1.07248747575,238693,"Zfp58"
"A_51_P367866",0.00680346293652216,0.00000915827079422886,8.53385495920182,1.3527622125,13653,"Egr1"
"A_55_P2179027",0.00680346293652216,0.0000102480561002524,8.42177795629189,1.43266843825,14579,"Gem"
"A_30_P01018365",0.00680346293652216,0.0000103774678609426,-8.4093407865119,-0.931220945499999,NA,""
"A_55_P2241553",0.00680346293652216,0.0000103877196580994,-8.40836278512443,-0.941019172500001,100689703,"9330133O14Rik"
"A_51_P255657",0.00680346293652216,0.0000108188796679647,-8.36815900409799,-0.94427762725,70134,"2210011C24Rik"
"A_52_P639229",0.00680346293652216,0.0000111110888334787,-8.34189439115251,-0.86162737625,224014,"Fgd4"
"A_55_P2135031",0.00680346293652216,0.000011427132231838,8.31432359796921,1.453492262,NA,""
"A_55_P2066568",0.00680346293652216,0.0000116778468872612,-8.29303784646488,-1.2454583205,78552,"E130201H02Rik"
"A_52_P27075",0.00680346293652216,0.0000117226925130116,-8.28928309136268,-1.1661440175,67672,"0610040B10Rik"
