integratedMoas,Target,GeneTargets,N
VEGFR inhibitor,Tivozanib|MGCD-265|sorafenib|ZM323881|Motesanib|Sorafenib|OSI-930|MAZ51|Brivanib|Semaxanib|Pazopanib|TSU-68|Oxindole I|SU 1498|Linifanib,FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB|AXL|MET|MST1R|TEK|BRAF|DDR2|FGFR1|FLT3|RAF1|RET|FGFR2|FGFR3|FGFR4|CSF1R|ITK|LCK|AURKA|AURKB|ERBB2,89
CDK inhibitor,AT-7519|Indigo Red|PHA-793887|AZD-5438|CGP 60474|Olomoucine|BMS-387032|JNJ-7706621,CDK1|CDK10|CDK11B|CDK12|CDK13|CDK14|CDK15|CDK16|CDK17|CDK18|CDK19|CDK2|CDK20|CDK3|CDK4|CDK5|CDK6|CDK7|CDK8|CDK9|GSK3A|AURKA|AURKB,74
KIT inhibitor,sorafenib|Motesanib|Sorafenib|OSI-930|Pazopanib|Midostaurin,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET|PDGFRA|CSF1R|FGFR3|ITK|LCK|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,60
FLT3 inhibitor,Quizartinib|sorafenib|Sorafenib|Lestaurtinib|MLS003128610|AT-9283|Midostaurin,CSF1R|FLT3|KIT|PDGFRA|PDGFRB|RET|BRAF|DDR2|FGFR1|FLT1|FLT4|KDR|RAF1|JAK2|NTRK1|NTRK2|NTRK3|NA|ABL1|AURKA|AURKB|JAK3|PRKCA|PRKCB|PRKCD|PRKCE|PRKCG|PRKCH|PRKCI|PRKCQ|PRKCZ|PRKD1|PRKD3,57
PDGFR tyrosine kinase receptor inhibitor,sorafenib|Motesanib|Sorafenib|Pazopanib|TSU-68|Linifanib,BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET|PDGFRA|CSF1R|FGFR3|ITK|LCK|AURKA|AURKB|FGFR2|FGFR4,56
NFkB pathway inhibitor,"IMD-0354|179324-69-7|Curcumin|BDBM50127227|Avicin-G|(1Ar,7as,10as,10br)-1a,5-Dimethyl-8-methylidene-2,3,6,7,7a,8,10a,10b-octahydrooxireno[9,10]cyclodeca[1,2-b]furan-9(1ah)-one|Avicin-D|Manumycin-A|Parthenolide|BAY-117821|Closantel|BRD-A80960055-001-01-7|Auranofin",IKBKB|ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1|PTGS1|PTGS2|FNTA|NA,55
Tubulin inhibitor,Albendazole|cortisone-acetate|BRD-A28746609|Lexibulin|Ixabepilone|Mebendazole|ChEBI91594|SCHEMBL14177979|Flubendazole|Podofilox|4354-76-1,NA|TUBA1A|TUBA1B|TUBA1C|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8|NR1I2,52
Glutamate receptor antagonist,Levomethorphan|Dextromethorphan|CHEMBL41721|Topiramate|JNJ-16259685|Mpep|Acdpp,SIGMAR1|SLC6A4|GRIN2A|CNR1|CNR2|GRIN1|CA2|CA4|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIA1|GRIA2|GRIA3|GRIA4|GRIK1|GRIK2|GRIK3|GRIK4|GRIK5|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|GRM1|GRM5|NA,48
PI3K inhibitor,Pictilisib|GSK 1059615|Pilaralisib|AS-605240|SCHEMBL570779|Buparlisib|Idelalisib|TORIN1|NU-7026|AZD-6482|PIK-75,PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5|NA|MTOR|PRKDC,42
Proteasome inhibitor,MG-132|179324-69-7|SCH-79797|MLN 2238,PSMB1|ADRM1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB10|PSMB11|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD6|PSMD7|PSMD8|SEM1|F2R,41
