integratedMoas,Target,GeneTargets,N
Adrenergic receptor antagonist,Acebutolol|Dihydroergocristine|BIOMOL-NT_000059|Carpindolol|BRD-A43331270-001-01-6|Nicergoline|Niguldipine|Triacsin C|NSC409663|RS-17053|Ifenprodil|Suloctidil|Timolol|Carvedilol|Yohimbine|Esmolol,ADRB1|ADRA1A|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7|HTR1B|CACNA1C|ACSL1|GRIN1|GRIN2B|NA|ADRB2|ADRA1B|ADRA1D|ADRB3|ADRA2A|ADRA2B|ADRA2C|HTR1D|HTR2B,73
Dopamine receptor antagonist,"Fluspirilene|Pimozide|Triflupromazine|Thiothixene|Flupentixol|L741,626|10-{3-[4-(2-Chloroethyl)piperazin-1-yl]propyl}-2-(trifluoromethyl)-10H-phenothiazine|GR-103691|Cis-N,N-Dimethyl-9-(3-(1-Piperazinyl)Propylidene)Thioxanthene-2-Sulfonamide|Chlorprothixene|Amoxapine|L 741,742|Risperidone|Thioproperazine|Sertindole|PNU-99194A|Quetiapine|Nemonapride|Molindone|Remoxipride|SCH-23390|[3H]NEMONAPRIDE|Spiramide",DRD2|HTR2A|DRD1|DRD3|DRD4|DRD5|HTR2B|HTR2C|HTR6|SLC6A2|SLC6A4|ADRA1A|ADRA1B|HRH1|HTR1A|HTR1D|NA|HTR1E,73
PDGFR tyrosine kinase receptor inhibitor,Tandutinib|Imatinib|Masitinib|Dasatinib|Dovitinib|Amuvatinib|Ponatinib|CHEMBL2136735|sunitinib|Axitinib,FLT3|KIT|PDGFRA|PDGFRB|ABL1|BCR|CSF1R|FGFR3|LYN|BLK|EPHA2|FGR|FRK|FYN|HCK|LCK|SRC|SRMS|YES1|EGFR|FGFR1|FGFR2|FLT1|FLT4|KDR|MET|FGFR4|RET|TEK,73
FLT3 inhibitor,Tandutinib|Tozasertib|Dovitinib|Amuvatinib|Fedratinib|ENMD-2076|Ponatinib|sunitinib|BMS-777607,FLT3|KIT|PDGFRA|PDGFRB|ABL1|AURKA|AURKB|AURKC|BCR|JAK2|EGFR|FGFR1|FGFR2|FGFR3|FLT1|FLT4|KDR|MET|CSF1R|SRC|FGFR4|RET|TEK|AXL|MERTK|MST1R|TYRO3,60
VEGFR inhibitor,PD-173074|Cediranib|Dovitinib|ENMD-2076|Norlichexanthone|CHEMBL2136735|Foretinib|sunitinib|Tyrphostin AG 879|Axitinib,FGFR1|FGFR3|FLT1|FLT4|KDR|KIT|PDGFRA|PDGFRB|EGFR|FGFR2|FLT3|AURKA|AURKB|CSF1R|SRC|PIM1|MET|TEK|RET|ERBB2|NTRK1,60
Serotonin 2a (5-HT2a) receptor antagonist (Serotonin 2a,Thioridazine|Promazine|Pimozide|Trifluoperazine|Trimipramine|Haloperidol|Chlorpromazine|Brexpiprazole,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C|CHRM5|DRD5|ADRA1A|ADRA1B|ADRA1D|HRH1|SLC6A2|SLC6A3|SLC6A4|ADRA2A|ADRA2B|ADRA2C|HTR1A|HTR6|HTR7,54
Serotonin receptor antagonist,"RS-39604|SB-216641|Sertraline|METERGOLINE|RS-23597-190|Carpindolol|Aripiprazole|Metergoline Phenylmethyl Ester|GR-127935|Risperidone|Sertindole|Altanserin|SCHEMBL5945809|3-Tropanyl-3,5-dichlorobenzoate|Quetiapine|Metergoline|GR-55562|Norcyclobenzaprine|Spiramide|Alaproclate",HTR4|HTR1B|HTR1D|SLC6A4|HTR1A|HTR2A|DRD2|HRH1|HTR2C|ADRA1A|ADRA1B|DRD3|DRD4|HTR3A|DRD1|HTR1E|NA,54
KIT inhibitor,Tandutinib|Imatinib|Masitinib|Dasatinib|Cediranib|Amuvatinib|sunitinib,FLT3|KIT|PDGFRA|PDGFRB|ABL1|BCR|CSF1R|FGFR3|LYN|BLK|EPHA2|FGR|FRK|FYN|HCK|LCK|SRC|SRMS|YES1|FLT1|FLT4|KDR|MET|RET,48
Bcr-Abl kinase inhibitor,Imatinib|Bosutinib|Tozasertib|Dasatinib|Ponatinib,ABL1|BCR|CSF1R|KIT|PDGFRA|PDGFRB|CAMK2G|HCK|LYN|SRC|AURKA|AURKB|AURKC|FLT3|JAK2|BLK|EPHA2|FGR|FRK|FYN|LCK|SRMS|YES1|FGFR1|FGFR2|FGFR3|FGFR4|RET|TEK,44
Tyrosine-protein kinase receptor RET inhibitor,Vandetanib|Sunitinib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|CSF1R|FLT3|KIT|PDGFRA|PDGFRB,43
