integratedMoas,Target,GeneTargets,N
Vascular endothelial growth factor receptor inhibitor,Vandetanib|Sunitinib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK|CSF1R|FLT3|KIT|PDGFRA|PDGFRB,43
Prolactin inhibitor,Dihydroergocristine|BIOMOL-NT_000059|NSC409663,ADRA1A|ADRB1|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR2A|HTR3A|HTR4|HTR5A|HTR6|HTR7,42
Voltage-gated potassium channel blocker,FAMPRIDINE,KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCNC4|KCND1|KCND2|KCND3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH2|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2,40
EGFR inhibitor,Neratinib|Lapatinib|Falnidamol|SCHEMBL2394914|Dovitinib|WZ-4-145|Gefitinib|WHI-P97|LFM-A12|Lavendustin A|Canertinib|CP-724714|WZ 3146|Lavendustin C|C24H25CLFN5O3|lapatinib,EGFR|ERBB2|ERBB4|FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|NA|JAK3|CAMK2A|SRC,39
Sodium channel alpha subunit blocker,Dronedarone HCl|Propafenone|LACOSAMIDE,CACNA1C|CACNA1D|CACNA1F|CACNA1S|HCN4|KCNJ2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|ADRB1|ADRB2|KCNH2,39
Norepinephrine transporter inhibitor,"Nortriptyline|Maprotiline|Amitriptyline|Trimipramine|Amoxapine|Protriptyline|(R,S)-Indatraline",KCNJ10|SLC6A2|SLC6A4|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|ADRA1A|ADRA1B|ADRA1D|DRD2|HTR2A|HTR2C|SLC6A3|DRD1|DRD3|DRD4|DRD5|MAOA|MAOB,37
Calcium channel blocker,amlodipine|CID 78435479|BRD-A43331270-001-01-6|Niguldipine|Calmidazolium|Lidoflazine|Amlodipine|Lomerizine|VU0413807-2|Nimodipine|Verapamil,CACNA1C|CACNA1D|CACNA1S|CACNA2D1|CACNA1F|NR3C2|ADRA1A|ATP2B1|PDE1A|NA|CACNA1G|CACNA1H|CACNA1I,35
Serotonin transporter inhibitor,Nortriptyline|VILAZODONE HYDROCHLORIDE|Clomipramine|Amitriptyline|Amoxapine|Fluoxetine|Protriptyline|Vortioxetine (Lu AA21004) HBr,KCNJ10|SLC6A2|SLC6A4|HTR1A|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HTR6|DRD1|DRD2|DRD3|DRD4|DRD5|HTR2A|HTR3A,31
Src inhibitor,Bosutinib|Masitinib|Saracatinib|Dasatinib|Aminogenistein|WH-4-023,ABL1|BCR|CAMK2G|HCK|LYN|SRC|FGFR3|KIT|PDGFRA|PDGFRB|BLK|EPHA2|FGR|FRK|FYN|LCK|SRMS|YES1,31
D2-like dopamine receptor antagonist,Thioridazine|Promazine|Trifluoperazine|Chlorpromazine,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C|CHRM5|ADRA2A|ADRA2B|ADRA2C|DRD5|HRH1|HTR1A|HTR6|HTR7,30
HDAC inhibitor,"Entinostat|Trichostatin A, Streptomyces Sp.|Pyroxamide|Panobinostat",HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9|NA,30
Voltage-gated L-type calcium channel blocker,Nifedipine|Diltiazem|Dronedarone HCl|Felodipine,CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1|HCN4|KCNJ2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A|NR3C2,30
Epidermal growth factor receptor inhibitor,Vandetanib|Osimertinib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,29
Tyrosine kinase inhibitor,Falnidamol|Dasatinib|Genistein|SU 11274|Tyrphostin AG 879|CP-724714|BMS-777607,EGFR|ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1|CFTR|ESR2|MET|ERBB2|KDR|NTRK1|AXL|MERTK|MST1R|TYRO3,28
Voltage-gated calcium channel blocker,Bepridil,CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1E|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNA2D4|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8,26
Dopamine receptor agonist,METERGOLINE|Metergoline Phenylmethyl Ester|Cabergoline|Quinelorane|Metergoline|R-N-Propylnorapomorphine,HTR1A|HTR2A|ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1B|HTR1D|HTR2B|HTR2C,25
Ephrin receptor inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Tyrosine-protein kinase BRK inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Tyrosine-protein kinase SRC inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Tyrosine-protein kinase TIE-2 inhibitor,Vandetanib,EGFR|EPHA1|EPHA10|EPHA2|EPHA3|EPHA4|EPHA5|EPHA6|EPHA7|EPHA8|EPHB1|EPHB2|EPHB3|EPHB4|EPHB6|ERBB2|ERBB3|ERBB4|FLT1|FLT4|KDR|PTK6|RET|SRC|TEK,25
Aurora kinase inhibitor,Tozasertib|SCHEMBL16980224|GSK-1070916|ENMD-2076|Norlichexanthone|Alisertib|Aurora A Inhibitor I,ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2|CSF1R|FGFR3|KDR|KIT|PDGFRA|SRC|PIM1,23
CDK inhibitor,GF-109203|N9-Isopropylolomoucine|Palbociclib|BML-259|Alvocidib|Seliciclib,PRKCA|CDK1|CDK5|CCND1|CDK4|CDK6|CDK2|CDK7|CDK8|CDK9|EGFR|PYGM,23
Cyclooxygenase inhibitor,Aminosalicylic acid|LM-1685|Phenacetin|Valdecoxib|Diclofenac|Naproxen|Aspirin|BSPBIO_001592|Carprofen|Fentiazac|Sulindac|Celecoxib,PTGS1|PTGS2|TP53|AKR1B1,22
PI3K inhibitor,"KU0060648|Wortmannin|YM 201636|PI-103|Apitolisib (gdc-0980, rg7422)|PI828|ZSTK 474|SAR245409",PIK3CA|PIK3CB|PIK3CD|PRKDC|PIK3CG|PLK1|NA|MTOR,21
Serotonin 2c (5-HT2c) receptor antagonist (Serotonin 2c,Thioridazine|Trifluoperazine|Trimipramine,DRD1|DRD2|DRD3|DRD4|HTR2A|HTR2C|ADRA1A|ADRA1B|ADRA1D|HRH1|SLC6A2|SLC6A3|SLC6A4,21
Serotonin receptor agonist,Aripiprazole|NAN-190|5-Nonyloxytryptamine|Ipsapirone|Dihydroegotamine|CHEMBL212197|Cyclobenzaprine|BW-723C86|CHEMBL364005|MDL 72832|RU-24969,DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|NA|HTR2B|HTR6,21
FGFR inhibitor,PD-173074|Dovitinib|CHEMBL2136735,FGFR1|FGFR3|EGFR|FGFR2|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB,20
MTOR inhibitor,Sirolimus|CCG-207980|LY-294002|PI-103|AZD-2014,FKBP1A|MTOR|NA|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC,20
Epidermal growth factor receptor erbB1 inhibitor,AEE788 (NVP-AEE788)|AC480 (BMS-599626)|Varlitinib|TAK-285|Osimertinib|AZD8931 (Sapitinib)|CO-1686 (AVL-301),EGFR|ERBB2|FLT1|KDR|ERBB4|ERBB3,19
T-type calcium channel blocker,Mibefradil|UNII-MET7ZRB8Y7|AC1NQXBX|Aminobenztropine,CACNA1C|CACNA1G|CACNA1H|CACNA1I|NA|CA1|CA12|CA7|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN9A,19
Macrophage colony stimulating factor  receptor  inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Platelet-derived growth factor receptor inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Stem cell growth factor receptor inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Tyrosine-protein kinase receptor FLT3 inhibitor,Sunitinib,CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRA|PDGFRB|RET,18
Ephrin inhibitor,Dasatinib|CHEMBL552425|SCHEMBL15556278,ABL1|BCR|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|YES1|DDR1,17
Histamine receptor antagonist,Terfenadine|Zolantidine|Iodophenpropit|Ranitidine|Tripelennamine|Desloratadine|Loratadine|Cidoxepin|Mizolastine|Diphenhydramine|Tiotidine|Azelastine,HRH1|KCNH2|NA|HRH3|HRH4|HRH2|SLC6A2|SLC6A4,17
Benzodiazepine receptor agonist,Midazolam,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,16
Inward rectifier potassium channel 2 blocker,Dronedarone HCl,CACNA1C|CACNA1D|CACNA1F|CACNA1S|HCN4|KCNJ2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,16
Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,Dronedarone HCl,CACNA1C|CACNA1D|CACNA1F|CACNA1S|HCN4|KCNJ2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,16
Dopamine D2 receptor antagonist,Fluphenazine|Perphenazine|Trimipramine|Prochlorperazine,DRD1|DRD2|ADRA1A|ADRA1B|ADRA1D|HRH1|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,14
Histamine H1 receptor antagonist,Astemizole|Trimipramine|Cyproheptadine|Clemastine,HRH1|KCNH2|ADRA1A|ADRA1B|ADRA1D|DRD2|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,14
Receptor protein-tyrosine kinase erbB-2 inhibitor,AEE788 (NVP-AEE788)|AC480 (BMS-599626)|Varlitinib|TAK-285|AZD8931 (Sapitinib),EGFR|ERBB2|FLT1|KDR|ERBB4|ERBB3,14
Beta-1 adrenergic receptor antagonist,Propafenone,ADRB1|ADRB2|KCNH2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,13
Beta-2 adrenergic receptor antagonist,Propafenone,ADRB1|ADRB2|KCNH2|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,13
DNA dependent protein kinase inhibitor,KU0060648|NU-7441|NU1025|LY-294002,PIK3CA|PIK3CB|PIK3CD|PRKDC|PARP1|MTOR|PIK3CG|PLK1,13
Estrogen receptor antagonist,"13-Methyl-7-[9-(4,4,5,5,5-pentafluoropentylsulfinyl)nonyl]-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthrene-3,17-diol|Y-134|Toremifene|Zuclomiphene|Enclomiphene|Clomifene|4-Hydroxytamoxifen|2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine|SPECTRUM_001028",ESR1|ESR2,13
Local anesthetic,Amylocaine|Benoxinate|Oxethazaine|Benzonatate,NA|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,13
Acetylcholine receptor agonist,N-Desmethylclozapine|Tremorine|Diphenidol|UB-165,CHRM1|DRD2|DRD3|HTR2A|HTR2C|NA|CHRM3|CHRM4|CHRNA3|CHRNA4|CHRNB2,12
JAK inhibitor,Tozasertib|Fedratinib|WHI-P97|AZD 1480,ABL1|AURKA|AURKB|AURKC|BCR|FLT3|JAK2|JAK3|JAK1,12
RET tyrosine kinase inhibitor,Amuvatinib|sunitinib,FLT3|KIT|MET|PDGFRA|FLT1|FLT4|KDR|PDGFRB|RET,12
HMGCR inhibitor,AC1MSUFC|atorvastatin|Atorvastatin|Rosuvastatin|Kolestevan|ZINC21985599|Cerivastatin|XUKUURHRXDUEBC-UHFFFAOYSA-N,HMGCR|DPP4,11
Hepatocyte growth factor receptor inhibitor,EMD-1214063|Cabozantinib|SU 11274|Golvatinib (E7050)|BMS-777607,MET|KDR|AXL|MERTK|MST1R|TYRO3,11
PLK inhibitor,GSK-461364|BI-2536|GW843682X|LY-294002,PLK1|PLK3|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC,11
AKT inhibitor,AKT Inhibitor VIII|MK-2206|10-DEBC|C21H27N7O3,AKT1|AKT2|AKT3|PIM1|PRKCQ,10
Adrenergic receptor alpha-1 antagonist,Trimipramine,ADRA1A|ADRA1B|ADRA1D|DRD2|HRH1|HTR2A|HTR2C|SLC6A2|SLC6A3|SLC6A4,10
GABA receptor agonist,Gaboxadol,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD,10
HIV protease inhibitor,Ursolic acid|Lopinavir|Nelfinavir,HSD11B1|PTPN1|NA|CYP1A2|CYP2B6|CYP2C19|CYP2C9|CYP2D6|CYP3A4|CYP3A7,10
Membrane integrity inhibitor,Tetracaine,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,10
NFkB pathway inhibitor,CID-2858522|BRD-A24396574-001-01-5|Caffeic Acid Phenethyl Ester|Quinacrine|Ursolic acid|BSPBIO_001592|ZINC27645180,NA|TP53|HSD11B1|PTPN1|PTGS1|PTGS2|NFKB1|TNF,10
Sodium channel blocker,Aminobenztropine,CA1|CA12|CA7|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN9A,10
Cytochrome P450 inhibitor,"Itrazole|Resveratrol|6-(7-Hydroxy-6,7-dihydro-5H-pyrrolo[1,2-c]imidazol-7-yl)-n-methyl-2-naphthamide|apigenin|Metyrapone|C24H30O6|Resmethrin",NA|PTGS1|PTGS2|SIRT1|CYP17A1|CYP11B1|NR3C2,9
PARP inhibitor,Rucaparib|NU1025|Olaparib|Veliparib,PARP1|PARP2|PARP3,9
PI3-kinase class I inhibitor,GDC-0980 (RG7422),MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5,9
Serine/threonine-protein kinase mTOR inhibitor,GDC-0980 (RG7422),MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R5,9
Adrenergic receptor agonist,"Xylazine|Salmeterol|Cyclobenzaprine|L-755,507|1-(2,6-Dichlorobenzylideneamino)guanidine|Norcyclobenzaprine|Isoxsuprine",NA|ADRB2|HTR2A|HTR2C|ADRB3,8
C-Met inhibitor,PHA-665752|PF-04217903|BMS-777607,MET|AXL|MERTK|MST1R|TYRO3,8
Calmodulin antagonist,E6 Berbamine|Zaldaride|Calmidazolium|W13|84215-10-1,CALM1|ATP2B1|PDE1A|MYLK|CALM2,8
Phosphodiesterase inhibitor,LY-294002|Zaprinast,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PLK1|PRKDC|PDE5A,8
Vascular endothelial growth factor receptor 2 inhibitor,AEE788 (NVP-AEE788)|Cabozantinib|Golvatinib (E7050),EGFR|ERBB2|FLT1|KDR|MET,8
CDK expression enhancer,"Trichostatin A, Streptomyces Sp.",HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8,7
ID1 expression inhibitor,"Trichostatin A, Streptomyces Sp.",HDAC1|HDAC10|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8,7
MAP kinase inhibitor,COT Inhibitor-2|CHEMBL1673039|PD-0325901|PD-98059|XMD 8-92,NA|LRRK2|MAPK7|MAP2K1|MAP2K2,7
MEK inhibitor,MEK1/2 Inhibitor|Selumetinib|PD-0325901|PD-98059,MAP2K1|MAP2K2,7
Retinoic acid receptor agonist,Tretinoin|Isotretinoin,RARA|RARB|RARG|RORB,7
Selective estrogen receptor modulator (SERM),"Toremifene|4-Hydroxytamoxifen|2-(4-(4-Chloro-1,2-diphenylbut-1-en-1-yl)phenoxy)-n,n-dimethylethanamine|SPECTRUM_001028",ESR1|ESR2,7
TNF production inhibitor,COT Inhibitor-2|Thalidomide|Tyrphostin AG 1288,NA|CRBN|CUL4A|DDB1|RBX1|TNF,7
Abl kinase inhibitor,Bosutinib,ABL1|BCR|CAMK2G|HCK|LYN|SRC,6
Anticancer agent,7-Hydroxyflavone|Lenalidomide,NA|CRBN|CUL4A|DDB1|RBX1|TNF,6
CHK inhibitor,SCHEMBL1564574|Arundine,CHEK1|CHEK2|AR|HIF1A|IFNG|PI3,6
Glucosidase inhibitor,Acarbose,AMY2A|GAA|MGAM,6
Macrophage inhibitor,BMS-777607|Chicago Sky Blue,AXL|MERTK|MET|MST1R|TYRO3|MIF,6
Mineralocorticoid receptor antagonist,Eplerenone|Felodipine,NR3C2|CACNA1C|CACNA1D|CACNA1F|CACNA1S,6
Norepinephrine reuptake inhibitor,Duloxetine|Nisoxetine|Venlafaxine,SLC6A2|SLC6A3|SLC6A4,6
P38 MAPK inhibitor,SB-202190|TAK-715|ML 3163|VX-702|SB239063,MAPK14|MAPK11,6
Progesterone receptor agonist,Nomegestrol Acetate|AC1NSZSY|HMS2093P09|Megestrol Acetate,PGR|CYP17A1|NR3C2,6
Serotonin reuptake inhibitor,Duloxetine|Citalopram|Venlafaxine,SLC6A2|SLC6A3|SLC6A4,6
Sterol demethylase inhibitor,Ketoconazole,AR|CYP19A1,6
Vitamin D receptor agonist,Lithocholic acid|BRD-K93433262-001-01-7|Calcitriol|CID 57118766,NR1I2|VDR,6
mTOR inhibitor,"Temsirolimus (CCI-779, NSC 683864)|Apitolisib (gdc-0980, rg7422)",MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,6
ATPase inhibitor,Blebbistatin|Oligomycin C|BRD-A26787626-001-02-9|Ursolic acid,MYH2|ATP5A1|ATP2A1|HSD11B1|PTPN1,5
AXL kinase inhibitor,BMS-777607,AXL|MERTK|MET|MST1R|TYRO3,5
Acetylcholine receptor antagonist,PD 102807|Methixene|Mebeverine,CHRM4|CHRM1|CHRM5|HTR2C,5
Carbonic anhydrase inhibitor,Methazolamide|Syringic acid,CA1|CA2|CA4|CA7|NA,5
D2-like dopamine receptor inverse agonist,Haloperidol,DRD1|DRD2|DRD3|DRD4|HTR2A,5
Estrogen receptor agonist,Daidzein|Equilin|SPECTRUM_001060|Estriol,NA|HSD17B1|ESR1|ESR2,5
Lipoxygenase inhibitor,SPBIO_000926|Cdc|BSPBIO_001592|Zileuton,NA|ALOX12|PTGS1|PTGS2|ALOX5,5
Monoamine oxidase inhibitor,"8-Cyclohexyl-2,3,3a,4,5,6-hexahydro-1H-pyrazino[3,2,1-jk]carbazole|(+)-Tranylcypromine|Procarbazine",MAOA|KDM1A|MAOB|NA,5
PKC inhibitor,GF-109203|GSK-3 Inhibitor II|PKC Beta Inhibitor|Hbdde,PRKCA|GSK3B|PRKCB|PRKCG,5
Serotonin 1a (5-HT1a) receptor partial agonist (Serotonin 1a,VILAZODONE HYDROCHLORIDE|Brexpiprazole,HTR1A|SLC6A4|DRD2|HTR2A,5
Sphingosine 1-phosphate receptor agonist,Fingolimod (FTY720) HCl,S1PR1|S1PR2|S1PR3|S1PR4|S1PR5,5
Sulfonylurea,Glyburide,ABCC8|CFTR|KCNJ11|KCNJ5|KCNJ8,5
Tachykinin antagonist,FK888|CTK8H3236|L-733060|GR 159897,TACR1|TAC1|TACR2,5
Tyrosine phosphatase inhibitor,Ursolic acid|Lithocholic acid|PRL-3InhibitorI,HSD11B1|PTPN1|NR1I2|VDR|PTP4A3,5
Adenosine receptor antagonist,ZM-241385|PSB 36,ADORA1|ADORA2A|ADORA2B,4
BCL inhibitor,ABT737|BH3I 1,BCL2|BCL2L1|BCL2L2,4
Calcineurin inhibitor,Cyclosporine,PPIA|PPP3CA,4
Cytochrome P450 activator,Arundine,AR|HIF1A|IFNG|PI3,4
ErbB2 inhibitor,Lapatinib|lapatinib,EGFR|ERBB2,4
Glucocorticoid receptor agonist,"(8Xi,11beta,14xi,16beta)-21-Chloro-9-fluoro-11-hydroxy-16-methyl-3,20-dioxopregna-1,4-dien-17-yl propanoate|C26H38O6|Fluocinonide|SPECTRUM_000898",NR3C1|NA,4
Glutamate receptor antagonist,BRD-K29064493-001-01-0|Ifenprodil|Remacemide,NA|GRIN1|GRIN2B,4
HCN channel blocker,ZD-7288,HCN1|HCN2|HCN3|HCN4,4
"Indoleamine 2,3-dioxygenase inhibitor",Arundine,AR|HIF1A|IFNG|PI3,4
Leukotriene inhibitor,WHI-P97|Ubenimex|Zileuton,JAK3|LTA4H|RNPEP|ALOX5,4
Lipase inhibitor,Orlistat,DAGLA|FASN|LIPF|PNLIP,4
