Symbol,Approved.Symbol,chromosome
A1BG,A1BG,19
FLJ23569,A1BG-AS1,19
A1BG-AS,A1BG-AS1,19
NCRNA00181,A1BG-AS1,19
A1BGAS,A1BG-AS1,19
A1BG-AS1,A1BG-AS1,19
ACF,A1CF,10
APOBEC1CF,A1CF,10
ACF64,A1CF,10
ASP,A1CF,10
ACF65,A1CF,10
A1CF,A1CF,10
S863-7,A2M,12
FWP007,A2M,12
CPAMD5,A2M,12
A2M,A2M,12
A2M-AS1,A2M-AS1,12
CPAMD9,A2ML1,12
A2ML1,A2ML1,12
FLJ25179,A2ML1,12
P170,A2ML1,12
A2ML1-AS1,A2ML1-AS1,12
A2ML1-AS2,A2ML1-AS2,12
A2MP1,A2MP1,12
A2MP,A2MP1,12
IGBS3S,A3GALT2,1
A3GALT2P,A3GALT2,1
A3GALT2,A3GALT2,1
IGB3S,A3GALT2,1
GB3S,A4GALT,22
P1,A4GALT,22
P(K),A4GALT,22
A4GALT,A4GALT,22
A14GALT,A4GALT,22
A4GNT,A4GNT,3
ALPHA4GNT,A4GNT,3
AAAS,AAAS,12
AACS,AACS,12
SUR-5,AACS,12
ACSF1,AACS,12
FLJ12389,AACS,12
AACSL,AACSP1,5
AACSP1,AACSP1,5
CES5A1,AADAC,3
DAC,AADAC,3
AADAC,AADAC,3
AADACL2,AADACL2,3
MGC72001,AADACL2,3
AADACL2-AS1,AADACL2-AS1,3
AADACL3,AADACL3,1
OTTHUMG00000001887,AADACL3,1
OTTHUMG00000001889,AADACL4,1
AADACL4,AADACL4,1
AADACP1,AADACP1,3
AADAT,AADAT,4
KAT2,AADAT,4
KATII,AADAT,4
KYAT2,AADAT,4
P34,AAGAB,15
FLJ11506,AAGAB,15
AAGAB,AAGAB,15
DKFZP686K16132,AAK1,2
KIAA1048,AAK1,2
AAK1,AAK1,2
FLJ21035,AAMDC,11
CK067,AAMDC,11
AAMDC,AAMDC,11
C11orf67,AAMDC,11
PTD015,AAMDC,11
AAMP,AAMP,2
AANAT,AANAT,17
SNAT,AANAT,17
BA234K24.2,AAR2,20
C20orf4,AAR2,20
AAR2,AAR2,20
LOC441376,AARD,8
AARD,AARD,8
C8orf85,AARD,8
ALARS,AARS1,16
AARS,AARS1,16
CMT2N,AARS1,16
AARS1,AARS1,16
AARSP1,AARS1P1,4
AARS1P1,AARS1P1,4
AARS2,AARS2,6
AARSL,AARS2,6
KIAA1270,AARS2,6
BA444E17.1,AARS2,6
AARSD1,AARSD1,17
MGC2744,AARSD1,17
ALAXP,AARSD1,17
AARSD1P1,AARSD1P1,X
LYS2,AASDH,4
ACSF4,AASDH,4
AASDH,AASDH,4
NRPS998,AASDH,4
AASD-PPT,AASDHPPT,11
LYS5,AASDHPPT,11
AASDHPPT,AASDHPPT,11
ACPS,AASDHPPT,11
CGI-80,AASDHPPT,11
AASDHPPT-AS1,AASDHPPT-AS1,11
LKR/SDH,AASS,7
LKRSDH,AASS,7
AASS,AASS,7
LORSDH,AASS,7
AATBC,AATBC,21
AATF,AATF,17
CHE1,AATF,17
BFR2,AATF,17
DED,AATF,17
CHE-1,AATF,17
LMTK1,AATK,17
KIAA0641,AATK,17
AATYK,AATK,17
PPP1R77,AATK,17
LMR1,AATK,17
AATK,AATK,17
AATYK1,AATK,17
AAV,AAVS1,19
AAVS1,AAVS1,19
ABALON,ABALON,20
INXS,ABALON,20
ABAT,ABAT,16
GABAT,ABAT,16
GABA-T,ABAT,16
TGD,ABCA1,9
HDLDT1,ABCA1,9
ABC1,ABCA1,9
ABCA1,ABCA1,9
EST698739,ABCA10,17
ABCA10,ABCA10,17
ABCA11P,ABCA11P,4
ABCA11,ABCA11P,4
FLJ14297,ABCA11P,4
EST1133530,ABCA11P,4
DKFZP434G232,ABCA12,2
ABCA12,ABCA12,2
ICR2B,ABCA12,2
LI2,ABCA12,2
ABCA13,ABCA13,7
FLJ33876,ABCA13,7
FLJ33951,ABCA13,7
FLJ41766,ABCA15P,16
ABCA15P,ABCA15P,16
CRYM-AS1,ABCA15P,16
NCRNA00169,ABCA15P,16
ABCA17P,ABCA17P,16
ABC2,ABCA2,9
ABCA2,ABCA2,9
ABCA3,ABCA3,16
LBM180,ABCA3,16
ABC-C,ABCA3,16
ABC3,ABCA3,16
EST111653,ABCA3,16
ABCA3P1,ABCA3P1,16
RP19,ABCA4,1
CORD3,ABCA4,1
ABCR,ABCA4,1
STGD,ABCA4,1
FFM,ABCA4,1
ABCA4,ABCA4,1
STGD1,ABCA4,1
ARMD2,ABCA4,1
ABCA5,ABCA5,17
EST90625,ABCA5,17
EST155051,ABCA6,17
